 t , uL, uV
 .000000000, -.002132328, .003954103
 1.000000000, -.002132328, .003954103
 2.000000000, -.002132328, .003954103
 3.000000000, -.002132328, .003954103
 4.000000000, -.001954744, .003593933
 5.000000000, -.001954744, .003593933
 6.000000000, -.001954744, .003593933
 7.000000000, -.001954744, .003593933
 8.000000000, -.001962875, .003584009
 9.000000000, -.001962875, .003584009
 10.000000000, -.001962875, .003584009
 11.000000000, -.001962875, .003584009
 12.000000000, -.001971556, .003575842
 13.000000000, -.001971556, .003575842
 14.000000000, -.001971556, .003575842
 15.000000000, -.001971556, .003575842
 16.000000000, -.001980650, .003568560
 17.000000000, -.001980650, .003568560
 18.000000000, -.001980650, .003568560
 19.000000000, -.001980650, .003568560
 20.000000000, -.001989887, .003561982
 21.000000000, -.001989887, .003561982
 22.000000000, -.001989887, .003561982
 23.000000000, -.001989887, .003561982
 24.000000000, -.001999373, .003556061
 25.000000000, -.001999373, .003556061
 26.000000000, -.001999373, .003556061
 27.000000000, -.001999373, .003556061
 28.000000000, -.002009191, .003550564
 29.000000000, -.002009191, .003550564
 30.000000000, -.002009191, .003550564
 31.000000000, -.002009191, .003550564
 32.000000000, -.002019195, .003545737
 33.000000000, -.002019195, .003545737
 34.000000000, -.002019195, .003545737
 35.000000000, -.002019195, .003545737
 36.000000000, -.002029417, .003541426
 37.000000000, -.002029417, .003541426
 38.000000000, -.002029417, .003541426
 39.000000000, -.002029417, .003541426
 40.000000000, -.002039886, .003537466
 41.000000000, -.002039886, .003537466
 42.000000000, -.002039886, .003537466
 43.000000000, -.002039886, .003537466
 44.000000000, -.002050792, .003533957
 45.000000000, -.002050792, .003533957
 46.000000000, -.002050792, .003533957
 47.000000000, -.002050792, .003533957
 48.000000000, -.002061819, .003530985
 49.000000000, -.002061819, .003530985
 50.000000000, -.002061819, .003530985
 51.000000000, -.002061819, .003530985
 52.000000000, -.002073118, .003528232
 53.000000000, -.002073118, .003528232
 54.000000000, -.002073118, .003528232
 55.000000000, -.002073118, .003528232
 56.000000000, -.002084645, .003525934
 57.000000000, -.002084645, .003525934
 58.000000000, -.002084645, .003525934
 59.000000000, -.002084645, .003525934
 60.000000000, -.002096416, .003523762
 61.000000000, -.002096416, .003523762
 62.000000000, -.002096416, .003523762
 63.000000000, -.002096416, .003523762
 64.000000000, -.002108550, .003521937
 65.000000000, -.002108550, .003521937
 66.000000000, -.002108550, .003521937
 67.000000000, -.002108550, .003521937
 68.000000000, -.002120810, .003520298
 69.000000000, -.002120810, .003520298
 70.000000000, -.002120810, .003520298
 71.000000000, -.002120810, .003520298
 72.000000000, -.002133337, .003518737
 73.000000000, -.002133337, .003518737
 74.000000000, -.002133337, .003518737
 75.000000000, -.002133337, .003518737
 76.000000000, -.002146116, .003517262
 77.000000000, -.002146116, .003517262
 78.000000000, -.002146116, .003517262
 79.000000000, -.002146116, .003517262
 80.000000000, -.002159027, .003515771
 81.000000000, -.002159027, .003515771
 82.000000000, -.002159027, .003515771
 83.000000000, -.002159027, .003515771
 84.000000000, -.002172040, .003514338
 85.000000000, -.002172040, .003514338
 86.000000000, -.002172040, .003514338
 87.000000000, -.002172040, .003514338
 88.000000000, -.002185310, .003512760
 89.000000000, -.002185310, .003512760
 90.000000000, -.002185310, .003512760
 91.000000000, -.002185310, .003512760
 92.000000000, -.002198628, .003510997
 93.000000000, -.002198628, .003510997
 94.000000000, -.002198628, .003510997
 95.000000000, -.002198628, .003510997
 96.000000000, -.002212127, .003508929
 97.000000000, -.002212127, .003508929
 98.000000000, -.002212127, .003508929
 99.000000000, -.002212127, .003508929
 100.000000000, -.002225571, .003506646
 101.000000000, -.002225571, .003506646
 102.000000000, -.002225571, .003506646
 103.000000000, -.002225571, .003506646
 104.000000000, -.002238952, .003503885
 105.000000000, -.002238952, .003503885
 106.000000000, -.002238952, .003503885
 107.000000000, -.002238952, .003503885
 108.000000000, -.002252307, .003500666
 109.000000000, -.002252307, .003500666
 110.000000000, -.002252307, .003500666
 111.000000000, -.002252307, .003500666
 112.000000000, -.002265569, .003496773
 113.000000000, -.002265569, .003496773
 114.000000000, -.002265569, .003496773
 115.000000000, -.002265569, .003496773
 116.000000000, -.002278653, .003492295
 117.000000000, -.002278653, .003492295
 118.000000000, -.002278653, .003492295
 119.000000000, -.002278653, .003492295
 120.000000000, -.002291347, .003486905
 121.000000000, -.002291347, .003486905
 122.000000000, -.002291347, .003486905
 123.000000000, -.002291347, .003486905
 124.000000000, -.002303771, .003480650
 125.000000000, -.002303771, .003480650
 126.000000000, -.002303771, .003480650
 127.000000000, -.002303771, .003480650
 128.000000000, -.002315627, .003473447
 129.000000000, -.002315627, .003473447
 130.000000000, -.002315627, .003473447
 131.000000000, -.002315627, .003473447
 132.000000000, -.002326995, .003465103
 133.000000000, -.002326995, .003465103
 134.000000000, -.002326995, .003465103
 135.000000000, -.002326995, .003465103
 136.000000000, -.002337502, .003455504
 137.000000000, -.002337502, .003455504
 138.000000000, -.002337502, .003455504
 139.000000000, -.002337502, .003455504
 140.000000000, -.002347334, .003444527
 141.000000000, -.002347334, .003444527
 142.000000000, -.002347334, .003444527
 143.000000000, -.002347334, .003444527
 144.000000000, -.002356128, .003432016
 145.000000000, -.002356128, .003432016
 146.000000000, -.002356128, .003432016
 147.000000000, -.002356128, .003432016
 148.000000000, -.002363778, .003417912
 149.000000000, -.002363778, .003417912
 150.000000000, -.002363778, .003417912
 151.000000000, -.002363778, .003417912
 152.000000000, -.002370095, .003402022
 153.000000000, -.002370095, .003402022
 154.000000000, -.002370095, .003402022
 155.000000000, -.002370095, .003402022
 156.000000000, -.002375007, .003384244
 157.000000000, -.002375007, .003384244
 158.000000000, -.002375007, .003384244
 159.000000000, -.002375007, .003384244
 160.000000000, -.002378142, .003364444
 161.000000000, -.002378142, .003364444
 162.000000000, -.002378142, .003364444
 163.000000000, -.002378142, .003364444
 164.000000000, -.002379364, .003342513
 165.000000000, -.002379364, .003342513
 166.000000000, -.002379364, .003342513
 167.000000000, -.002379364, .003342513
 168.000000000, -.002378597, .003318311
 169.000000000, -.002378597, .003318311
 170.000000000, -.002378597, .003318311
 171.000000000, -.002378597, .003318311
 172.000000000, -.002375440, .003291717
 173.000000000, -.002375440, .003291717
 174.000000000, -.002375440, .003291717
 175.000000000, -.002375440, .003291717
 176.000000000, -.002369820, .003262556
 177.000000000, -.002369820, .003262556
 178.000000000, -.002369820, .003262556
 179.000000000, -.002369820, .003262556
 180.000000000, -.002361380, .003230803
 181.000000000, -.002361380, .003230803
 182.000000000, -.002361380, .003230803
 183.000000000, -.002361380, .003230803
 184.000000000, -.002349977, .003196329
 185.000000000, -.002349977, .003196329
 186.000000000, -.002349977, .003196329
 187.000000000, -.002349977, .003196329
 188.000000000, -.002335331, .003159014
 189.000000000, -.002335331, .003159014
 190.000000000, -.002335331, .003159014
 191.000000000, -.002335331, .003159014
 192.000000000, -.002317234, .003118813
 193.000000000, -.002317234, .003118813
 194.000000000, -.002317234, .003118813
 195.000000000, -.002317234, .003118813
 196.000000000, -.002295460, .003075704
 197.000000000, -.002295460, .003075704
 198.000000000, -.002295460, .003075704
 199.000000000, -.002295460, .003075704
 200.000000000, -.002269875, .003029469
 201.000000000, -.002269875, .003029469
 202.000000000, -.002269875, .003029469
 203.000000000, -.002269875, .003029469
 204.000000000, -.002240258, .002980191
 205.000000000, -.002240258, .002980191
 206.000000000, -.002240258, .002980191
 207.000000000, -.002240258, .002980191
 208.000000000, -.002206602, .002927780
 209.000000000, -.002206602, .002927780
 210.000000000, -.002206602, .002927780
 211.000000000, -.002206602, .002927780
 212.000000000, -.002168461, .002872177
 213.000000000, -.002168461, .002872177
 214.000000000, -.002168461, .002872177
 215.000000000, -.002168461, .002872177
 216.000000000, -.002126101, .002813547
 217.000000000, -.002126101, .002813547
 218.000000000, -.002126101, .002813547
 219.000000000, -.002126101, .002813547
 220.000000000, -.002079288, .002751637
 221.000000000, -.002079288, .002751637
 222.000000000, -.002079288, .002751637
 223.000000000, -.002079288, .002751637
 224.000000000, -.002028099, .002686641
 225.000000000, -.002028099, .002686641
 226.000000000, -.002028099, .002686641
 227.000000000, -.002028099, .002686641
 228.000000000, -.001972540, .002618528
 229.000000000, -.001972540, .002618528
 230.000000000, -.001972540, .002618528
 231.000000000, -.001972540, .002618528
 232.000000000, -.001912769, .002547340
 233.000000000, -.001912769, .002547340
 234.000000000, -.001912769, .002547340
 235.000000000, -.001912769, .002547340
 236.000000000, -.001848880, .002473156
 237.000000000, -.001848880, .002473156
 238.000000000, -.001848880, .002473156
 239.000000000, -.001848880, .002473156
 240.000000000, -.001780954, .002395990
 241.000000000, -.001780954, .002395990
 242.000000000, -.001780954, .002395990
 243.000000000, -.001780954, .002395990
