"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","NCL","NCS","NCE","NCIS","NCIA","NCH","NCR","NCD","NCV"
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266174788,0.464659225,0.000763672,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000283177
2,0.266094013,0.465713844,0.000829215,0.000077277,0.00108894,0.000067438,0.263656821,0.001906588,0.000565863
3,0.266016206,0.466766975,0.000875885,0.000074241,0.001056518,0.000051672,0.262401657,0.001908782,0.000848065
4,0.265940304,0.467816646,0.00090974,0.000072819,0.001035388,0.00004201,0.261142568,0.001910738,0.001129785
5,0.265865588,0.468861531,0.000934902,0.000072368,0.001022134,0.000036157,0.25988374,0.001912556,0.001411024
6,0.265791565,0.469900741,0.000954176,0.000072484,0.001014404,0.000032673,0.258627882,0.001914296,0.00169178
7,0.265717898,0.470933679,0.000969473,0.000072918,0.001010578,0.000030657,0.257376749,0.001915998,0.00197205
8,0.265644354,0.471959948,0.000982101,0.000073519,0.001009537,0.000029547,0.25613148,0.001917683,0.002251831
9,0.265570773,0.472979286,0.000992951,0.000074199,0.001010505,0.00002899,0.254892811,0.001919365,0.00253112
10,0.265497039,0.473991521,0.001002638,0.000074906,0.001012943,0.000028769,0.253661218,0.001921053,0.002809913
11,0.265423071,0.474996542,0.001011581,0.000075615,0.001016476,0.000028749,0.252437008,0.00192275,0.003088207
12,0.26534881,0.475994281,0.001020071,0.000076313,0.001020843,0.000028846,0.251220378,0.00192446,0.003365998
13,0.265274209,0.476984695,0.001028309,0.000076997,0.00102586,0.000029011,0.250011454,0.001926183,0.003643283
14,0.265199233,0.477967762,0.001036435,0.000077666,0.001031399,0.000029214,0.248810315,0.00192792,0.003920057
15,0.265123854,0.478943474,0.001044545,0.000078323,0.00103737,0.000029437,0.247617008,0.001929671,0.004196317
16,0.265048048,0.479911828,0.001052709,0.000078972,0.001043711,0.00002967,0.246431565,0.001931437,0.00447206
17,0.264971794,0.48087283,0.001060975,0.000079617,0.001050376,0.000029909,0.245254001,0.001933217,0.004747281
18,0.264895072,0.481826487,0.001069378,0.000080261,0.001057335,0.000030151,0.244084326,0.001935012,0.005021977
19,0.264817866,0.48277281,0.001077944,0.000080907,0.001064566,0.000030394,0.242922545,0.001936821,0.005296145
20,0.264740159,0.483711812,0.00108669,0.000081559,0.001072056,0.00003064,0.241768659,0.001938645,0.005569781
21,0.264661934,0.484643505,0.001095631,0.000082219,0.001079793,0.000030887,0.240622667,0.001940483,0.005842881
22,0.264583176,0.485567902,0.001104779,0.000082888,0.001087772,0.000031137,0.239484569,0.001942337,0.006115441
23,0.264503869,0.486485017,0.001114142,0.000083569,0.001095988,0.00003139,0.238354363,0.001944205,0.006387458
24,0.264423997,0.487394863,0.001123726,0.000084263,0.00110444,0.000031646,0.237232047,0.001946089,0.006658927
25,0.264343546,0.488297454,0.00113354,0.000084972,0.001113128,0.000031908,0.236117619,0.001947989,0.006929846
26,0.264262498,0.489192802,0.001143587,0.000085695,0.001122051,0.000032174,0.23501108,0.001949904,0.00720021
27,0.264180839,0.490080919,0.001153873,0.000086434,0.001131211,0.000032445,0.233912428,0.001951836,0.007470015
28,0.264098552,0.490961818,0.001164402,0.00008719,0.001140609,0.000032722,0.232821663,0.001953784,0.007739258
29,0.264015622,0.49183551,0.00117518,0.000087963,0.001150248,0.000033006,0.231738786,0.00195575,0.008007935
30,0.263932032,0.492702005,0.00118621,0.000088754,0.00116013,0.000033295,0.230663798,0.001957733,0.008276042
31,0.263847766,0.493561315,0.001197497,0.000089563,0.001170259,0.000033591,0.229596701,0.001959734,0.008543574
32,0.263762807,0.494413448,0.001209045,0.000090391,0.001180637,0.000033894,0.228537497,0.001961753,0.008810529
33,0.263677139,0.495258414,0.001220858,0.000091239,0.001191267,0.000034204,0.227486189,0.001963791,0.009076901
34,0.263590743,0.496096221,0.001232941,0.000092105,0.001202153,0.00003452,0.226442781,0.001965848,0.009342687
35,0.263503603,0.496926878,0.001245298,0.000092992,0.001213299,0.000034844,0.225407278,0.001967924,0.009607884
36,0.263415702,0.497750391,0.001257933,0.000093898,0.001224709,0.000035176,0.224379685,0.00197002,0.009872486
37,0.263327021,0.498566767,0.001270852,0.000094826,0.001236386,0.000035515,0.223360007,0.001972137,0.010136489
38,0.263237542,0.499376012,0.001284058,0.000095774,0.001248335,0.000035862,0.222348251,0.001974275,0.01039989
39,0.263147248,0.500178131,0.001297558,0.000096744,0.001260559,0.000036217,0.221344425,0.001976434,0.010662685
40,0.263056119,0.500973129,0.001311354,0.000097736,0.001273063,0.000036579,0.220348537,0.001978615,0.010924868
41,0.262964137,0.501761009,0.001325453,0.000098749,0.001285851,0.00003695,0.219360596,0.001980818,0.011186437
42,0.262871283,0.502541775,0.001339859,0.000099785,0.001298928,0.00003733,0.218380611,0.001983044,0.011447385
