"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","CL","CS","CE","CIS","CIA","CH","CR","CD","CV"
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266989653,0.463800796,0.000763665,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000326749
2,0.267725718,0.463997207,0.00082919,0.000077277,0.001088937,0.000067438,0.263656821,0.001906588,0.000650823
3,0.268466759,0.464192297,0.000875832,0.00007424,0.00105651,0.000051672,0.262401655,0.001908782,0.000972253
4,0.269203347,0.464456422,0.000909653,0.000072817,0.00103537,0.00004201,0.261142564,0.001910738,0.001227078
5,0.269901069,0.465075765,0.000934781,0.000072364,0.001022102,0.000036156,0.259883732,0.001912556,0.001161476
6,0.270601262,0.465686681,0.000954022,0.000072479,0.001014355,0.000032672,0.258627866,0.001914296,0.001096368
7,0.271303593,0.466288575,0.000969289,0.000072911,0.00101051,0.000030655,0.257376722,0.001915997,0.001031748
8,0.271899064,0.466826225,0.000981886,0.00007351,0.001009448,0.000029544,0.256131438,0.001917682,0.001131203
9,0.271951529,0.467086451,0.000992695,0.000074187,0.001010392,0.000028987,0.25489275,0.001919364,0.002043645
10,0.272003825,0.467346443,0.001002325,0.000074892,0.001012802,0.000028765,0.253661133,0.001921052,0.002948764
11,0.272055868,0.467606031,0.001011197,0.000075597,0.001016302,0.000028744,0.252436894,0.001922749,0.003846618
12,0.272002996,0.46821852,0.001019605,0.000076292,0.001020628,0.00002884,0.251220228,0.001924458,0.004488434
13,0.271427588,0.470590227,0.00102778,0.000076971,0.001025598,0.000029004,0.25001126,0.00192618,0.003885392
14,0.270853011,0.472950518,0.001035874,0.000077635,0.001031091,0.000029205,0.248810067,0.001927917,0.003284681
15,0.270279236,0.475299386,0.001043979,0.000078289,0.00103702,0.000029427,0.247616699,0.001929668,0.002686297
16,0.269608577,0.477291956,0.001052161,0.000078936,0.001043326,0.000029659,0.246431187,0.001931433,0.002532766
17,0.268452688,0.477561231,0.001060422,0.000079579,0.001049964,0.000029897,0.245253549,0.001933212,0.004579459
18,0.267301293,0.477834149,0.001068784,0.000080221,0.001056896,0.000030137,0.244083796,0.001935006,0.006609719
19,0.266154361,0.478110584,0.001077277,0.000080865,0.001064095,0.00003038,0.242921931,0.001936814,0.008623693
20,0.265052287,0.47857863,0.001085923,0.000081513,0.001071543,0.000030624,0.241767954,0.001938637,0.010392887
21,0.264155684,0.479983489,0.001094764,0.000082168,0.00107923,0.00003087,0.240621865,0.001940475,0.011011456
22,0.263261587,0.481380759,0.001103819,0.000082833,0.00108715,0.000031118,0.239483658,0.001942327,0.011626749
23,0.262369978,0.482770441,0.001113094,0.000083508,0.001095303,0.00003137,0.238353333,0.001944194,0.012238779
24,0.26164163,0.483990425,0.001122595,0.000084196,0.001103688,0.000031625,0.237230886,0.001946076,0.012848878
25,0.261718234,0.484394744,0.001132318,0.000084898,0.001112305,0.000031884,0.236116316,0.001947974,0.013461328
26,0.261794247,0.484795995,0.001142263,0.000085615,0.001121153,0.000032148,0.23500962,0.001949888,0.014069072
27,0.261869651,0.485194155,0.001152437,0.000086347,0.001130232,0.000032417,0.233910798,0.001951818,0.014672145
