t, NCL , NCS , NCE , NCIS, NCIA, NCH , NCR , NCD , NCV 
49,0.262194939,0.509126003,0.001450239,0.000107729,0.001399305,0.000040239,0.211745183,0.001999318,0.011937045
50,0.262094356,0.509899192,0.001467333,0.000108961,0.001414894,0.00004069,0.210829367,0.002001746,0.012143459
51,0.261992714,0.510665967,0.001484787,0.000110219,0.00143082,0.000041152,0.209921639,0.002004202,0.0123485
52,0.261889989,0.511426314,0.001502606,0.000111504,0.001447088,0.000041623,0.209022017,0.002006687,0.012552173
53,0.26178616,0.512180215,0.001520798,0.000112817,0.001463703,0.000042104,0.208130521,0.002009201,0.012754482
54,0.261681202,0.512927656,0.001539368,0.000114156,0.001480671,0.000042595,0.207247172,0.002011744,0.012955434
55,0.261575093,0.513668618,0.001558324,0.000115524,0.001498,0.000043097,0.206371993,0.002014317,0.013155034
56,0.261467809,0.514403083,0.001577672,0.000116921,0.001515694,0.00004361,0.205505005,0.002016922,0.013353285
57,0.261359325,0.515131032,0.00159742,0.000118346,0.00153376,0.000044133,0.204646234,0.002019557,0.013550193
58,0.261249617,0.515852444,0.001617574,0.000119802,0.001552205,0.000044667,0.203795703,0.002022225,0.013745763
59,0.26113866,0.516567299,0.001638141,0.000121287,0.001571036,0.000045212,0.20295344,0.002024926,0.01394
60,0.261026429,0.517275575,0.001659129,0.000122803,0.001590259,0.000045768,0.202119471,0.00202766,0.014132906
61,0.260912897,0.517977249,0.001680545,0.00012435,0.00160988,0.000046336,0.201293826,0.002030428,0.014324488
62,0.26079804,0.518672298,0.001702396,0.000125929,0.001629907,0.000046916,0.200476533,0.002033231,0.014514749
63,0.260681829,0.519360697,0.001724692,0.000127541,0.001650348,0.000047508,0.199667623,0.00203607,0.014703694
64,0.260564238,0.52004242,0.001747438,0.000129185,0.001671209,0.000048111,0.198867129,0.002038945,0.014891325
65,0.26044524,0.520717441,0.001770644,0.000130862,0.001692497,0.000048728,0.198075083,0.002041857,0.015077648
66,0.260324806,0.521385734,0.001794317,0.000132574,0.001714221,0.000049356,0.197291519,0.002044807,0.015262666
67,0.260202908,0.522047268,0.001818466,0.000134321,0.001736388,0.000049998,0.196516474,0.002047796,0.015446382
68,0.260079518,0.522702016,0.001843099,0.000136102,0.001759005,0.000050652,0.195749985,0.002050824,0.0156288
69,0.259954605,0.523349946,0.001868224,0.00013792,0.001782081,0.00005132,0.194992088,0.002053892,0.015809924
70,0.259828141,0.523991027,0.001893851,0.000139774,0.001805624,0.000052001,0.194242825,0.002057001,0.015989757
