"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","CL","CS","CE","CIS","CIA","CH","CR","CD","CV"
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266989653,0.463799888,0.000763665,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000327656
2,0.267725718,0.463993591,0.00082919,0.000077277,0.001088937,0.000067438,0.263656821,0.001906588,0.00065444
3,0.268466759,0.464184192,0.000875832,0.00007424,0.00105651,0.000051672,0.262401655,0.001908782,0.000980358
4,0.269203347,0.46444207,0.000909653,0.000072817,0.00103537,0.00004201,0.261142564,0.001910738,0.001241431
5,0.269901069,0.465054831,0.00093478,0.000072364,0.001022102,0.000036156,0.259883732,0.001912556,0.001182411
6,0.270601262,0.465659547,0.000954021,0.000072479,0.001014355,0.000032672,0.258627866,0.001914296,0.001123503
7,0.271303593,0.466255619,0.000969287,0.000072911,0.001010509,0.000030655,0.257376722,0.001915997,0.001064706
8,0.271899064,0.466787836,0.000981884,0.00007351,0.001009447,0.000029544,0.256131438,0.001917682,0.001169595
9,0.271951529,0.467039454,0.000992692,0.000074187,0.001010391,0.000028987,0.25489275,0.001919364,0.002090647
10,0.272003825,0.467285847,0.00100232,0.000074891,0.001012801,0.000028765,0.253661133,0.001921052,0.003009367
11,0.272055869,0.467526909,0.001011191,0.000075597,0.0010163,0.000028744,0.252436893,0.001922749,0.003925749
12,0.272002996,0.468115956,0.001019597,0.000076291,0.001020625,0.00002884,0.251220227,0.001924458,0.00459101
13,0.271427589,0.470464621,0.00102777,0.00007697,0.001025595,0.000029004,0.250011258,0.00192618,0.004011014
14,0.270853012,0.472805254,0.001035861,0.000077635,0.001031086,0.000029205,0.248810064,0.001927917,0.003429966
15,0.270279237,0.475137829,0.001043964,0.000078288,0.001037014,0.000029426,0.247616695,0.001929668,0.002847879
16,0.26960858,0.477117615,0.001052142,0.000078935,0.001043318,0.000029659,0.246431181,0.001931433,0.002707138
17,0.268452691,0.477368489,0.001060401,0.000079578,0.001049953,0.000029896,0.245253542,0.001933212,0.004772238
18,0.267301297,0.477611862,0.001068758,0.00008022,0.001056883,0.000030137,0.244083786,0.001935006,0.00683205
19,0.266154365,0.477847781,0.001077246,0.000080864,0.00106408,0.00003038,0.242921919,0.001936814,0.008886551
20,0.265052293,0.478264359,0.001085887,0.000081512,0.001071526,0.000030624,0.241767939,0.001938637,0.010707223
21,0.264155691,0.479611342,0.001094721,0.000082166,0.001079208,0.00003087,0.240621846,0.001940474,0.011383682
22,0.263261596,0.480947582,0.001103768,0.00008283,0.001087125,0.000031118,0.239483635,0.001942327,0.012060019
23,0.262369989,0.482273116,0.001113034,0.000083505,0.001095273,0.000031369,0.238353305,0.001944194,0.012736216
24,0.261641643,0.483425866,0.001122525,0.000084192,0.001103652,0.000031624,0.237230852,0.001946076,0.013413571
25,0.26171825,0.483759878,0.001132235,0.000084894,0.001112262,0.000031883,0.236116274,0.001947974,0.014096351
26,0.261794266,0.484087767,0.001142167,0.00008561,0.001121102,0.000032146,0.23500957,0.001949888,0.014777484
27,0.261869674,0.484409552,0.001152327,0.000086341,0.001130173,0.000032415,0.233910738,0.001951818,0.015456962
28,0.261758705,0.484894955,0.001162719,0.000087089,0.001139475,0.000032689,0.232819776,0.001953764,0.016150827
29,0.260721138,0.48621901,0.001173357,0.000087853,0.001149011,0.00003297,0.231736684,0.001955727,0.016924251
30,0.259687044,0.487531393,0.001184249,0.000088634,0.001158783,0.000033256,0.230661463,0.001957708,0.01769747
31,0.258656399,0.488832146,0.001195398,0.000089434,0.001168797,0.000033548,0.229594112,0.001959706,0.01847046
32,0.25766681,0.490200625,0.001206806,0.000090252,0.001179056,0.000033848,0.228534633,0.001961722,0.019126248
33,0.256867858,0.491954428,0.001218491,0.000091089,0.001189564,0.000034154,0.227483029,0.001963757,0.019197631
