 t , uL, uV
 .000000000, -.001533974, .004279465
 1.000000000, -.001533974, .004279465
 2.000000000, -.001533974, .004279465
 3.000000000, -.001533974, .004279465
 4.000000000, -.001415103, .004001379
 5.000000000, -.001415103, .004001379
 6.000000000, -.001415103, .004001379
 7.000000000, -.001415103, .004001379
 8.000000000, -.001430413, .003988119
 9.000000000, -.001430413, .003988119
 10.000000000, -.001430413, .003988119
 11.000000000, -.001430413, .003988119
 12.000000000, -.001446300, .003976555
 13.000000000, -.001446300, .003976555
 14.000000000, -.001446300, .003976555
 15.000000000, -.001446300, .003976555
 16.000000000, -.001462499, .003965770
 17.000000000, -.001462499, .003965770
 18.000000000, -.001462499, .003965770
 19.000000000, -.001462499, .003965770
 20.000000000, -.001478958, .003955544
 21.000000000, -.001478958, .003955544
 22.000000000, -.001478958, .003955544
 23.000000000, -.001478958, .003955544
 24.000000000, -.001495660, .003945799
 25.000000000, -.001495660, .003945799
 26.000000000, -.001495660, .003945799
 27.000000000, -.001495660, .003945799
 28.000000000, -.001512644, .003936520
 29.000000000, -.001512644, .003936520
 30.000000000, -.001512644, .003936520
 31.000000000, -.001512644, .003936520
 32.000000000, -.001529864, .003927658
 33.000000000, -.001529864, .003927658
 34.000000000, -.001529864, .003927658
 35.000000000, -.001529864, .003927658
 36.000000000, -.001547355, .003919171
 37.000000000, -.001547355, .003919171
 38.000000000, -.001547355, .003919171
 39.000000000, -.001547355, .003919171
 40.000000000, -.001565098, .003911028
 41.000000000, -.001565098, .003911028
 42.000000000, -.001565098, .003911028
 43.000000000, -.001565098, .003911028
 44.000000000, -.001583103, .003903193
 45.000000000, -.001583103, .003903193
 46.000000000, -.001583103, .003903193
 47.000000000, -.001583103, .003903193
 48.000000000, -.001601368, .003895652
 49.000000000, -.001601368, .003895652
 50.000000000, -.001601368, .003895652
 51.000000000, -.001601368, .003895652
 52.000000000, -.001619867, .003888331
 53.000000000, -.001619867, .003888331
 54.000000000, -.001619867, .003888331
 55.000000000, -.001619867, .003888331
 56.000000000, -.001638637, .003881201
 57.000000000, -.001638637, .003881201
 58.000000000, -.001638637, .003881201
 59.000000000, -.001638637, .003881201
 60.000000000, -.001657633, .003874231
 61.000000000, -.001657633, .003874231
 62.000000000, -.001657633, .003874231
 63.000000000, -.001657633, .003874231
 64.000000000, -.001676852, .003867360
 65.000000000, -.001676852, .003867360
 66.000000000, -.001676852, .003867360
 67.000000000, -.001676852, .003867360
 68.000000000, -.001696288, .003860548
 69.000000000, -.001696288, .003860548
 70.000000000, -.001696288, .003860548
 71.000000000, -.001696288, .003860548
 72.000000000, -.001715925, .003853750
 73.000000000, -.001715925, .003853750
 74.000000000, -.001715925, .003853750
 75.000000000, -.001715925, .003853750
 76.000000000, -.001735739, .003846888
 77.000000000, -.001735739, .003846888
 78.000000000, -.001735739, .003846888
 79.000000000, -.001735739, .003846888
 80.000000000, -.001755726, .003839923
 81.000000000, -.001755726, .003839923
 82.000000000, -.001755726, .003839923
 83.000000000, -.001755726, .003839923
 84.000000000, -.001775817, .003832806
 85.000000000, -.001775817, .003832806
 86.000000000, -.001775817, .003832806
 87.000000000, -.001775817, .003832806
 88.000000000, -.001796034, .003825436
 89.000000000, -.001796034, .003825436
 90.000000000, -.001796034, .003825436
 91.000000000, -.001796034, .003825436
 92.000000000, -.001816295, .003817759
 93.000000000, -.001816295, .003817759
 94.000000000, -.001816295, .003817759
 95.000000000, -.001816295, .003817759
 96.000000000, -.001836598, .003809734
 97.000000000, -.001836598, .003809734
 98.000000000, -.001836598, .003809734
 99.000000000, -.001836598, .003809734
 100.000000000, -.001856871, .003801247
 101.000000000, -.001856871, .003801247
 102.000000000, -.001856871, .003801247
 103.000000000, -.001856871, .003801247
 104.000000000, -.001877056, .003792230
 105.000000000, -.001877056, .003792230
 106.000000000, -.001877056, .003792230
 107.000000000, -.001877056, .003792230
 108.000000000, -.001897121, .003782601
 109.000000000, -.001897121, .003782601
 110.000000000, -.001897121, .003782601
 111.000000000, -.001897121, .003782601
 112.000000000, -.001916966, .003772282
 113.000000000, -.001916966, .003772282
 114.000000000, -.001916966, .003772282
 115.000000000, -.001916966, .003772282
 116.000000000, -.001936564, .003761150
 117.000000000, -.001936564, .003761150
 118.000000000, -.001936564, .003761150
 119.000000000, -.001936564, .003761150
 120.000000000, -.001955769, .003749137
 121.000000000, -.001955769, .003749137
 122.000000000, -.001955769, .003749137
 123.000000000, -.001955769, .003749137
 124.000000000, -.001974542, .003736113
 125.000000000, -.001974542, .003736113
 126.000000000, -.001974542, .003736113
 127.000000000, -.001974542, .003736113
 128.000000000, -.001992746, .003722019
 129.000000000, -.001992746, .003722019
 130.000000000, -.001992746, .003722019
 131.000000000, -.001992746, .003722019
 132.000000000, -.002010300, .003706706
 133.000000000, -.002010300, .003706706
 134.000000000, -.002010300, .003706706
 135.000000000, -.002010300, .003706706
 136.000000000, -.002027057, .003690075
 137.000000000, -.002027057, .003690075
 138.000000000, -.002027057, .003690075
 139.000000000, -.002027057, .003690075
 140.000000000, -.002042890, .003672011
 141.000000000, -.002042890, .003672011
 142.000000000, -.002042890, .003672011
 143.000000000, -.002042890, .003672011
 144.000000000, -.002057665, .003652403
 145.000000000, -.002057665, .003652403
 146.000000000, -.002057665, .003652403
 147.000000000, -.002057665, .003652403
 148.000000000, -.002071214, .003631145
 149.000000000, -.002071214, .003631145
 150.000000000, -.002071214, .003631145
 151.000000000, -.002071214, .003631145
 152.000000000, -.002083383, .003608080
 153.000000000, -.002083383, .003608080
 154.000000000, -.002083383, .003608080
 155.000000000, -.002083383, .003608080
 156.000000000, -.002094007, .003583105
 157.000000000, -.002094007, .003583105
 158.000000000, -.002094007, .003583105
 159.000000000, -.002094007, .003583105
 160.000000000, -.002102886, .003556134
 161.000000000, -.002102886, .003556134
 162.000000000, -.002102886, .003556134
 163.000000000, -.002102886, .003556134
 164.000000000, -.002109833, .003527035
 165.000000000, -.002109833, .003527035
 166.000000000, -.002109833, .003527035
 167.000000000, -.002109833, .003527035
 168.000000000, -.002114646, .003495668
 169.000000000, -.002114646, .003495668
 170.000000000, -.002114646, .003495668
 171.000000000, -.002114646, .003495668
 172.000000000, -.002117112, .003461969
 173.000000000, -.002117112, .003461969
 174.000000000, -.002117112, .003461969
 175.000000000, -.002117112, .003461969
 176.000000000, -.002117019, .003425771
 177.000000000, -.002117019, .003425771
 178.000000000, -.002117019, .003425771
 179.000000000, -.002117019, .003425771
 180.000000000, -.002114154, .003387050
 181.000000000, -.002114154, .003387050
 182.000000000, -.002114154, .003387050
 183.000000000, -.002114154, .003387050
 184.000000000, -.002108312, .003345648
 185.000000000, -.002108312, .003345648
 186.000000000, -.002108312, .003345648
 187.000000000, -.002108312, .003345648
 188.000000000, -.002099281, .003301545
 189.000000000, -.002099281, .003301545
 190.000000000, -.002099281, .003301545
 191.000000000, -.002099281, .003301545
 192.000000000, -.002086866, .003254609
 193.000000000, -.002086866, .003254609
 194.000000000, -.002086866, .003254609
 195.000000000, -.002086866, .003254609
 196.000000000, -.002070849, .003204817
 197.000000000, -.002070849, .003204817
 198.000000000, -.002070849, .003204817
 199.000000000, -.002070849, .003204817
 200.000000000, -.002051076, .003152102
 201.000000000, -.002051076, .003152102
 202.000000000, -.002051076, .003152102
 203.000000000, -.002051076, .003152102
 204.000000000, -.002027389, .003096424
 205.000000000, -.002027389, .003096424
 206.000000000, -.002027389, .003096424
 207.000000000, -.002027389, .003096424
 208.000000000, -.001999659, .003037740
 209.000000000, -.001999659, .003037740
 210.000000000, -.001999659, .003037740
 211.000000000, -.001999659, .003037740
 212.000000000, -.001967780, .002976058
 213.000000000, -.001967780, .002976058
 214.000000000, -.001967780, .002976058
 215.000000000, -.001967780, .002976058
 216.000000000, -.001931669, .002911320
 217.000000000, -.001931669, .002911320
 218.000000000, -.001931669, .002911320
 219.000000000, -.001931669, .002911320
 220.000000000, -.001891312, .002843601
 221.000000000, -.001891312, .002843601
 222.000000000, -.001891312, .002843601
 223.000000000, -.001891312, .002843601
 224.000000000, -.001846699, .002772835
 225.000000000, -.001846699, .002772835
 226.000000000, -.001846699, .002772835
 227.000000000, -.001846699, .002772835
 228.000000000, -.001797884, .002699113
 229.000000000, -.001797884, .002699113
 230.000000000, -.001797884, .002699113
 231.000000000, -.001797884, .002699113
 232.000000000, -.001744994, .002622421
 233.000000000, -.001744994, .002622421
 234.000000000, -.001744994, .002622421
 235.000000000, -.001744994, .002622421
 236.000000000, -.001688129, .002542844
 237.000000000, -.001688129, .002542844
 238.000000000, -.001688129, .002542844
 239.000000000, -.001688129, .002542844
 240.000000000, -.001627526, .002460418
 241.000000000, -.001627526, .002460418
 242.000000000, -.001627526, .002460418
 243.000000000, -.001627526, .002460418
 244.000000000, -.001563429, .002375208
 245.000000000, -.001563429, .002375208
 246.000000000, -.001563429, .002375208
 247.000000000, -.001563429, .002375208
 248.000000000, -.001496108, .002287317
 249.000000000, -.001496108, .002287317
 250.000000000, -.001496108, .002287317
 251.000000000, -.001496108, .002287317
 252.000000000, -.001425907, .002196856
 253.000000000, -.001425907, .002196856
 254.000000000, -.001425907, .002196856
 255.000000000, -.001425907, .002196856
 256.000000000, -.001353234, .002103912
 257.000000000, -.001353234, .002103912
 258.000000000, -.001353234, .002103912
 259.000000000, -.001353234, .002103912
 260.000000000, -.001278472, .002008644
 261.000000000, -.001278472, .002008644
 262.000000000, -.001278472, .002008644
 263.000000000, -.001278472, .002008644
 264.000000000, -.001202085, .001911232
 265.000000000, -.001202085, .001911232
 266.000000000, -.001202085, .001911232
 267.000000000, -.001202085, .001911232
 268.000000000, -.001124566, .001811825
