t, NCL , NCS , NCE , NCIS, NCIA, NCH , NCR , NCD , NCV 
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266174788,0.464659486,0.000763672,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000282915
2,0.266094013,0.465714888,0.000829215,0.000077277,0.00108894,0.000067438,0.263656821,0.001906588,0.000564819
3,0.266016206,0.466769318,0.000875885,0.000074241,0.001056518,0.000051672,0.262401657,0.001908782,0.000845722
4,0.265940304,0.467820799,0.00090974,0.000072819,0.001035388,0.00004201,0.261142568,0.001910738,0.001125632
5,0.265865588,0.468868003,0.000934902,0.000072368,0.001022134,0.000036157,0.25988374,0.001912556,0.001404552
6,0.265791565,0.469910034,0.000954176,0.000072484,0.001014404,0.000032673,0.258627882,0.001914296,0.001682486
7,0.265717898,0.470946294,0.000969474,0.000072918,0.001010578,0.000030657,0.257376749,0.001915998,0.001959434
8,0.265644354,0.47197638,0.000982102,0.000073519,0.001009538,0.000029547,0.25613148,0.001917683,0.002235397
9,0.265570773,0.473000027,0.000992953,0.000074199,0.001010505,0.00002899,0.254892811,0.001919365,0.002510378
10,0.265497039,0.474017058,0.00100264,0.000074906,0.001012944,0.000028769,0.253661218,0.001921053,0.002784375
11,0.265423071,0.475027357,0.001011583,0.000075615,0.001016477,0.000028749,0.252437008,0.00192275,0.003057389
12,0.26534881,0.476030853,0.001020074,0.000076314,0.001020844,0.000028846,0.251220379,0.00192446,0.003329421
13,0.265274208,0.4770275,0.001028313,0.000076997,0.001025861,0.000029011,0.250011455,0.001926183,0.003600472
14,0.265199233,0.478017271,0.001036439,0.000077666,0.001031401,0.000029214,0.248810316,0.00192792,0.003870541
15,0.265123854,0.479000153,0.001044551,0.000078323,0.001037373,0.000029437,0.24761701,0.001929671,0.004139629
16,0.265048047,0.47997614,0.001052716,0.000078972,0.001043714,0.000029671,0.246431567,0.001931437,0.004407736
17,0.264971793,0.480945234,0.001060983,0.000079617,0.00105038,0.000029909,0.245254004,0.001933217,0.004674863
18,0.264895071,0.481907438,0.001069388,0.000080261,0.001057339,0.000030151,0.24408433,0.001935012,0.00494101
19,0.264817865,0.482862759,0.001077955,0.000080908,0.001064572,0.000030395,0.24292255,0.001936821,0.005206177
20,0.264740157,0.483811205,0.001086703,0.00008156,0.001072062,0.00003064,0.241768665,0.001938645,0.005470364
21,0.264661931,0.484752785,0.001095646,0.000082219,0.001079801,0.000030887,0.240622674,0.001940483,0.005733573
22,0.264583173,0.485687509,0.001104796,0.000082889,0.001087781,0.000031137,0.239484578,0.001942337,0.005995801
23,0.264503865,0.486615386,0.001114161,0.00008357,0.001095999,0.00003139,0.238354373,0.001944205,0.006257051
24,0.264423992,0.487536425,0.001123748,0.000084264,0.001104452,0.000031647,0.237232059,0.001946089,0.006517322
25,0.26434354,0.488450636,0.001133564,0.000084973,0.001113142,0.000031908,0.236117634,0.001947989,0.006776614
26,0.264262491,0.489358028,0.001143614,0.000085696,0.001122067,0.000032174,0.235011097,0.001949904,0.007034928
27,0.264180831,0.490258608,0.001153904,0.000086436,0.001131229,0.000032446,0.233912448,0.001951836,0.007292262
28,0.264098543,0.491152386,0.001164437,0.000087192,0.001140629,0.000032723,0.232821687,0.001953785,0.007548618
29,0.264015611,0.492039368,0.001175218,0.000087965,0.001150271,0.000033006,0.231738814,0.00195575,0.007803995
