t, CL , CS , CE , CIS, CIA, CH , CR , CD , CV 
49,0.248247558,0.512403291,0.001446605,0.000107469,0.00139604,0.000040143,0.211734729,0.001999208,0.022624958
50,0.248748512,0.511771207,0.00146355,0.000108694,0.001411545,0.000040593,0.210818345,0.00200163,0.023635924
51,0.24924942,0.51113789,0.001480821,0.000109944,0.001427373,0.000041051,0.209910036,0.00200408,0.024639384
52,0.249506457,0.510847778,0.001498427,0.000111219,0.001443526,0.00004152,0.209009816,0.002006559,0.025534698
53,0.248546728,0.51227213,0.001516409,0.000112519,0.00146001,0.000041998,0.208117703,0.002009066,0.025923437
54,0.24758962,0.513685854,0.001534786,0.000113846,0.001476837,0.000042485,0.207233714,0.002011602,0.026311256
55,0.24663511,0.515088952,0.001553559,0.000115201,0.001494014,0.000042982,0.206357871,0.002014169,0.026698142
56,0.245739438,0.5162554,0.001572732,0.000116584,0.001511553,0.00004349,0.205490193,0.002016766,0.027253844
57,0.245126422,0.51628777,0.001592279,0.000117996,0.001529459,0.000044008,0.204630706,0.002019394,0.028651965
58,0.244513775,0.51631912,0.001612195,0.000119436,0.001547733,0.000044537,0.203779433,0.002022054,0.030041717
59,0.243901478,0.5163494,0.00163249,0.000120906,0.001566379,0.000045077,0.202936397,0.002024746,0.031423128
60,0.243279524,0.516442707,0.001653173,0.000122404,0.001585399,0.000045628,0.202101623,0.002027472,0.03274207
61,0.242608132,0.516853492,0.001674264,0.000123932,0.001604799,0.000046189,0.201275136,0.002030231,0.033783824
62,0.241937351,0.51725989,0.001695774,0.00012549,0.001624586,0.000046762,0.200456963,0.002033025,0.034820158
63,0.24126716,0.517661872,0.001717708,0.000127079,0.001644768,0.000047346,0.199647131,0.002035854,0.035851082
64,0.240725324,0.517732686,0.001740074,0.000128699,0.001665351,0.000047942,0.198845669,0.002038718,0.037075538
65,0.240822084,0.516176786,0.001762833,0.00013035,0.001686339,0.000048549,0.198052605,0.002041619,0.039278833
66,0.240917518,0.514633619,0.001785976,0.000132033,0.001707732,0.000049169,0.19726797,0.002044558,0.041461425
67,0.241011599,0.513103013,0.001809519,0.000133746,0.001729528,0.0000498,0.196491793,0.002047534,0.043623468
68,0.241178135,0.511564512,0.001833472,0.00013549,0.00175173,0.000050442,0.195724103,0.002050549,0.045711567
69,0.241713165,0.509934647,0.001857848,0.000137265,0.001774341,0.000051097,0.19496493,0.002053603,0.047513103
70,0.242247892,0.508313343,0.001882659,0.000139072,0.001797366,0.000051764,0.194214304,0.002056697,0.049296904
71,0.242782279,0.506700472,0.001907911,0.000140912,0.001820812,0.000052442,0.193472255,0.002059832,0.051063085
72,0.243060895,0.50541638,0.001933613,0.000142784,0.001844683,0.000053133,0.192738815,0.002063009,0.052746688
73,0.242064654,0.505733837,0.00195981,0.000144689,0.001868988,0.000053836,0.192014019,0.002066227,0.054093941
74,0.241070951,0.506046466,0.001986522,0.00014663,0.001893742,0.000054551,0.1912979,0.002069489,0.055433749
75,0.24007976,0.506354235,0.00201375,0.000148608,0.001918956,0.00005528,0.190590496,0.002072794,0.05676612
76,0.239328004,0.506300052,0.0020415,0.000150622,0.001944643,0.000056023,0.189891846,0.002076144,0.058211166
77,0.2397622,0.504466387,0.002069728,0.000152675,0.001970809,0.000056779,0.189201992,0.002079539,0.060239891
78,0.240195479,0.502645091,0.002098425,0.000154764,0.001997455,0.000057549,0.188520976,0.002082981,0.062247281
79,0.240627802,0.500835993,0.002127604,0.000156891,0.002024582,0.000058333,0.187848838,0.002086469,0.064233488
80,0.241076031,0.499225654,0.002157278,0.000159055,0.002052193,0.000059132,0.18718562,0.002090006,0.065995031
81,0.241607975,0.498551706,0.002187499,0.000161257,0.002080296,0.000059944,0.186531365,0.002093591,0.066726366
82,0.242139245,0.497874718,0.002218292,0.000163498,0.002108905,0.000060771,0.185886117,0.002097226,0.067451228
83,0.242669799,0.497194655,0.002249659,0.00016578,0.002138032,0.000061613,0.185249921,0.002100912,0.06816963
84,0.243186296,0.496729103,0.002281605,0.000168104,0.002167689,0.00006247,0.184622827,0.002104649,0.068677257
85,0.243635328,0.497342955,0.002314186,0.000170471,0.002197889,0.000063343,0.184004885,0.002108438,0.068162505
86,0.244083191,0.497944919,0.002347424,0.000172882,0.002228653,0.000064232,0.183396149,0.002112281,0.06765027
87,0.244529838,0.498534977,0.002381321,0.00017534,0.002259997,0.000065137,0.182796674,0.002116178,0.067140537
88,0.244833304,0.499297613,0.002415882,0.000177845,0.002291938,0.000066059,0.182206522,0.00212013,0.066590707
89,0.244426062,0.500970205,0.002451139,0.0001804,0.00232449,0.000066999,0.181625753,0.002124139,0.065830814
90,0.244017371,0.502630353,0.002487111,0.000183004,0.002357672,0.000067958,0.181054432,0.002128206,0.065073893
91,0.243607201,0.504278006,0.002523803,0.000185661,0.0023915,0.000068935,0.180492629,0.002132331,0.064319936
92,0.2430862,0.5059941,0.002561222,0.00018837,0.00242599,0.000069931,0.179940412,0.002136516,0.06359726
93,0.242019556,0.508100602,0.002599384,0.000191133,0.002461155,0.000070947,0.179397856,0.002140762,0.063018604
94,0.240955346,0.510191096,0.002638303,0.000193951,0.002497011,0.000071983,0.178865035,0.002145071,0.062442205
95,0.239893532,0.512265522,0.002677986,0.000196824,0.002533573,0.000073039,0.178342028,0.002149443,0.061868054
96,0.239082537,0.513662887,0.002718446,0.000199754,0.002570852,0.000074117,0.177828913,0.002153879,0.061708614
97,0.239514611,0.511758182,0.002759549,0.000202741,0.002608854,0.000075215,0.177325773,0.002158382,0.063596692
98,0.239944997,0.509864458,0.002801257,0.000205782,0.002647563,0.000076335,0.176832687,0.002162952,0.065463968
99,0.240373639,0.507981545,0.002843601,0.000208875,0.002686969,0.000077476,0.176349731,0.002167591,0.067310574
100,0.240554294,0.506800554,0.002886605,0.000212019,0.002727067,0.000078637,0.175876981,0.002172299,0.068691544
101,0.239505192,0.50906944,0.002930453,0.000215217,0.002767866,0.000079818,0.17541451,0.002177078,0.067840425
102,0.238458081,0.511321411,0.002975217,0.000218472,0.002809403,0.000081019,0.174962396,0.00218193,0.066992071
103,0.237412929,0.513556385,0.003020887,0.000221788,0.002851707,0.000082242,0.174520724,0.002186854,0.066146483
104,0.236606679,0.515249588,0.003067464,0.000225167,0.002894804,0.000083488,0.174089582,0.002191854,0.065591375
105,0.236985564,0.5143128,0.003114827,0.00022861,0.002938708,0.000084756,0.173669063,0.002196929,0.066468745
106,0.237362237,0.513374426,0.003162939,0.000232115,0.002983413,0.000086048,0.17325926,0.002202082,0.067337479
107,0.237736638,0.5124344,0.003211826,0.000235681,0.003028917,0.000087364,0.172860264,0.002207314,0.068197596
108,0.237949757,0.511731803,0.003261508,0.000239309,0.003075222,0.000088703,0.172472166,0.002212627,0.068968905
109,0.237366595,0.512218297,0.003312053,0.000242998,0.003122333,0.000090065,0.172095056,0.002218021,0.06933458
110,0.236781881,0.512695771,0.003363494,0.000246751,0.003170269,0.000091452,0.171729029,0.002223499,0.069697855
111,0.23619558,0.513164162,0.003415837,0.000250569,0.003219044,0.000092862,0.171374177,0.002229061,0.070058708
112,0.23554586,0.513868307,0.003469089,0.000254454,0.003268672,0.000094296,0.1710306,0.002234709,0.070234014
113,0.234586962,0.515782528,0.003523333,0.000258406,0.003319172,0.000095756,0.170698396,0.002240444,0.069495004
114,0.233628826,0.517679624,0.003578603,0.000262429,0.00337057,0.000097241,0.170377668,0.002246269,0.068758771
115,0.232671417,0.519559496,0.003634899,0.000266525,0.00342289,0.000098752,0.170068526,0.002252185,0.068025309
116,0.231921869,0.521268662,0.003692227,0.000270696,0.003476155,0.00010029,0.169771081,0.002258192,0.067240828
117,0.232207236,0.522193549,0.003750575,0.000274942,0.00353038,0.000101857,0.169485446,0.002264294,0.066191721
118,0.232489554,0.523102572,0.003809945,0.000279265,0.00358558,0.000103451,0.16921174,0.002270492,0.065147403
119,0.232768747,0.523995655,0.003870349,0.000283665,0.003641767,0.000105074,0.168950081,0.002276787,0.064107875
120,0.232795846,0.524690564,0.003931799,0.000288143,0.003698953,0.000106727,0.168700589,0.002283181,0.063504198
121,0.231579546,0.524466175,0.003994189,0.000292699,0.003757145,0.000108408,0.168463387,0.002289676,0.065048774
122,0.230366037,0.524236358,0.004057487,0.000297331,0.003816331,0.000110119,0.168238595,0.002296273,0.066581467
123,0.229155281,0.524001016,0.004121722,0.000302037,0.003876505,0.000111859,0.168026331,0.002302975,0.068102273
124,0.228007533,0.523685051,0.004186914,0.000306818,0.003937663,0.000113628,0.167826711,0.002309783,0.069625898
125,0.22716207,0.522991807,0.00425306,0.000311672,0.003999807,0.000115425,0.16763985,0.002316699,0.07120961
126,0.22631599,0.522298399,0.004320166,0.0003166,0.004062936,0.000117251,0.167465863,0.002323725,0.07277907
127,0.225469266,0.521604701,0.004388247,0.000321602,0.004127051,0.000119105,0.167304864,0.002330861,0.074334303
128,0.224830213,0.520963908,0.004457312,0.000326679,0.004192156,0.000120987,0.167156967,0.00233811,0.075613668
129,0.225231267,0.520581825,0.00452744,0.000331831,0.004258259,0.000122898,0.167022285,0.002345473,0.075578721
130,0.225629017,0.520188765,0.004598661,0.000337061,0.004325378,0.000124838,0.166900936,0.002352953,0.075542392
131,0.226023379,0.519784694,0.004670971,0.00034237,0.004393531,0.000126806,0.166793037,0.00236055,0.075504662
132,0.226372691,0.519314709,0.00474437,0.00034776,0.00446273,0.000128805,0.166698709,0.002368267,0.075561958
133,0.226510238,0.518562924,0.004818823,0.000353231,0.004532985,0.000130834,0.166618076,0.002376106,0.076096783
134,0.226643587,0.517805645,0.00489432,0.000358783,0.004604298,0.000132893,0.16655126,0.002384068,0.076625147
135,0.226772667,0.517042816,0.004970867,0.000364415,0.004676672,0.000134983,0.166498384,0.002392155,0.077147041
136,0.226668561,0.516489237,0.00504847,0.000370129,0.004750111,0.000137104,0.166459571,0.002400369,0.077676449
137,0.225420528,0.516998088,0.005127183,0.000375924,0.004824621,0.000139255,0.166434944,0.002408711,0.078270745
138,0.224174925,0.517492166,0.005207025,0.000381802,0.004900216,0.000141438,0.166424627,0.002417185,0.078860615
139,0.222931724,0.517971411,0.005287993,0.000387764,0.004976907,0.000143652,0.166428745,0.002425791,0.079446014
140,0.221756234,0.518649306,0.005370082,0.000393811,0.005054704,0.000145897,0.166447427,0.002434531,0.079748008
141,0.220907685,0.520375905,0.005453422,0.000399943,0.005133621,0.000148175,0.1664808,0.002443407,0.078657043
142,0.220057749,0.522082238,0.005538055,0.000406166,0.005213691,0.000150485,0.166528996,0.002452422,0.077570198
143,0.219206401,0.52376817,0.005623964,0.00041248,0.005294939,0.000152829,0.166592154,0.002461577,0.076487487
144,0.218496639,0.525354472,0.005711136,0.000418888,0.005377385,0.000155207,0.166670413,0.002470874,0.075344987
145,0.218498851,0.526524604,0.005799558,0.00042539,0.005461043,0.00015762,0.166763917,0.002480316,0.073888701
146,0.218496154,0.527675018,0.005889223,0.000431988,0.005545924,0.000160068,0.166872811,0.002489905,0.072438909
147,0.218488477,0.528805603,0.005980128,0.00043868,0.005632037,0.000162553,0.166997241,0.002499642,0.07099564
148,0.218357859,0.529634899,0.006072269,0.000445467,0.005719387,0.000165073,0.167137353,0.002509529,0.069958162
149,0.217634278,0.529047845,0.006165438,0.000452348,0.005807968,0.000167629,0.167293294,0.00251957,0.07091163
150,0.216907963,0.528455042,0.00625956,0.000459317,0.005897741,0.000170221,0.167465204,0.002529766,0.071855187
151,0.216178891,0.527856398,0.006354659,0.000466371,0.005988676,0.000172847,0.167653217,0.002540119,0.072788823
152,0.215478724,0.527510287,0.006450747,0.000473507,0.006080749,0.000175506,0.167857458,0.002550631,0.073422391
153,0.214933528,0.528442216,0.006548002,0.000480725,0.006173954,0.000178198,0.168078051,0.002561303,0.072604023
154,0.214384372,0.529355368,0.006646483,0.000488028,0.00626831,0.000180921,0.16831512,0.002572139,0.071789257
155,0.213831229,0.530249657,0.00674616,0.000495419,0.006363831,0.000183678,0.16856879,0.002583139,0.070978098
156,0.213289443,0.531084926,0.006847007,0.000502898,0.006460524,0.000186467,0.168839189,0.002594305,0.070195239
157,0.212820225,0.531701653,0.006948983,0.000510465,0.006558393,0.00018929,0.169126444,0.00260564,0.069538907
158,0.212346483,0.532300509,0.00705206,0.00051812,0.00665743,0.000192146,0.169430683,0.002617146,0.068885422
159,0.211868189,0.532881424,0.007156223,0.000525862,0.006757631,0.000195036,0.16975203,0.002628824,0.068234781
160,0.211292481,0.533482235,0.007261457,0.00053369,0.006858986,0.000197959,0.170090608,0.002640677,0.067641909
161,0.210250501,0.534253399,0.007367737,0.000541602,0.006961485,0.000200914,0.170446538,0.002652706,0.067325119
162,0.209207951,0.535004383,0.007475043,0.000549597,0.007065116,0.000203902,0.170819937,0.002664913,0.067009157
163,0.208164829,0.535735121,0.007583356,0.000557675,0.007169866,0.000206922,0.17121092,0.0026773,0.066694009
164,0.20732723,0.536386447,0.007692656,0.000565833,0.00727572,0.000209974,0.171619598,0.00268987,0.066232672
165,0.207517136,0.536720129,0.007802953,0.000574071,0.007382665,0.000213057,0.17204608,0.002702623,0.065041286
166,0.20770126,0.537032653,0.007914235,0.000582387,0.00749069,0.000216171,0.172490469,0.002715562,0.063856573
167,0.207879527,0.537324008,0.008026472,0.00059078,0.007599782,0.000219315,0.172952868,0.002728689,0.062678559
168,0.207806644,0.537370353,0.008139633,0.00059925,0.007709926,0.000222489,0.173433376,0.002742005,0.061976324
169,0.206507253,0.536288023,0.008253407,0.000607793,0.007821087,0.000225692,0.173932087,0.002755511,0.063609147
170,0.205209932,0.535201965,0.008367667,0.000616398,0.007933187,0.000228924,0.174449084,0.00276921,0.065223633
171,0.203914696,0.534112145,0.008482422,0.00062506,0.008046161,0.000232181,0.174984435,0.002783103,0.066819798
172,0.202721557,0.532857266,0.008597661,0.000633774,0.008159951,0.000235461,0.175538197,0.002797191,0.068458942
173,0.202027215,0.530800833,0.00871327,0.000642535,0.008274501,0.000238763,0.176110415,0.002811475,0.070380993
174,0.201329116,0.528754581,0.00882919,0.000651336,0.008389746,0.000242085,0.17670112,0.002825957,0.072276869
175,0.200627282,0.526718427,0.008945399,0.000660174,0.008505626,0.000245424,0.177310335,0.002840637,0.074146696
176,0.199877419,0.525232766,0.009061871,0.000669045,0.008622086,0.00024878,0.17793807,0.002855516,0.075494449
