 t , uL, uV
 .000000000, -.003056760, .003299141
 1.000000000, -.003056760, .003299141
 2.000000000, -.003056760, .003299141
 3.000000000, -.003056760, .003299141
 4.000000000, -.003056752, .003000035
 5.000000000, -.003056752, .003000035
 6.000000000, -.003056752, .003000035
 7.000000000, -.003056752, .003000035
 8.000000000, -.003056744, .002991140
 9.000000000, -.003056744, .002991140
 10.000000000, -.003056744, .002991140
 11.000000000, -.003056744, .002991140
 12.000000000, -.003056741, .002985631
 13.000000000, -.003056741, .002985631
 14.000000000, -.003056741, .002985631
 15.000000000, -.003056741, .002985631
 16.000000000, -.003056757, .002980984
 17.000000000, -.003056757, .002980984
 18.000000000, -.003056757, .002980984
 19.000000000, -.003056757, .002980984
 20.000000000, -.003056749, .002978853
 21.000000000, -.003056749, .002978853
 22.000000000, -.003056749, .002978853
 23.000000000, -.003056749, .002978853
 24.000000000, -.003056759, .002974779
 25.000000000, -.003056759, .002974779
 26.000000000, -.003056759, .002974779
 27.000000000, -.003056759, .002974779
 28.000000000, -.003056757, .002971320
 29.000000000, -.003056757, .002971320
 30.000000000, -.003056757, .002971320
 31.000000000, -.003056757, .002971320
 32.000000000, -.003056755, .002969970
 33.000000000, -.003056755, .002969970
 34.000000000, -.003056755, .002969970
 35.000000000, -.003056755, .002969970
 36.000000000, -.003056757, .002968088
 37.000000000, -.003056757, .002968088
 38.000000000, -.003056757, .002968088
 39.000000000, -.003056757, .002968088
 40.000000000, -.003056759, .002967769
 41.000000000, -.003056759, .002967769
 42.000000000, -.003056759, .002967769
 43.000000000, -.003056759, .002967769
 44.000000000, -.003056757, .002966728
 45.000000000, -.003056757, .002966728
 46.000000000, -.003056757, .002966728
 47.000000000, -.003056757, .002966728
 48.000000000, -.003056760, .002966039
 49.000000000, -.003056760, .002966039
 50.000000000, -.003056760, .002966039
 51.000000000, -.003056760, .002966039
 52.000000000, -.003056758, .002966278
 53.000000000, -.003056758, .002966278
 54.000000000, -.003056758, .002966278
 55.000000000, -.003056758, .002966278
 56.000000000, -.003056740, .002968301
 57.000000000, -.003056740, .002968301
 58.000000000, -.003056740, .002968301
 59.000000000, -.003056740, .002968301
 60.000000000, -.003056758, .002968698
 61.000000000, -.003056758, .002968698
 62.000000000, -.003056758, .002968698
 63.000000000, -.003056758, .002968698
 64.000000000, -.003056759, .002971155
 65.000000000, -.003056759, .002971155
 66.000000000, -.003056759, .002971155
 67.000000000, -.003056759, .002971155
 68.000000000, -.003056759, .002972684
 69.000000000, -.003056759, .002972684
 70.000000000, -.003056759, .002972684
 71.000000000, -.003056759, .002972684
 72.000000000, -.003056750, .002974997
 73.000000000, -.003056750, .002974997
 74.000000000, -.003056750, .002974997
 75.000000000, -.003056750, .002974997
 76.000000000, -.003056759, .002977741
 77.000000000, -.003056759, .002977741
 78.000000000, -.003056759, .002977741
 79.000000000, -.003056759, .002977741
 80.000000000, -.003056754, .002979544
 81.000000000, -.003056754, .002979544
 82.000000000, -.003056754, .002979544
 83.000000000, -.003056754, .002979544
 84.000000000, -.003056758, .002981021
 85.000000000, -.003056758, .002981021
 86.000000000, -.003056758, .002981021
 87.000000000, -.003056758, .002981021
 88.000000000, -.003056753, .002984505
 89.000000000, -.003056753, .002984505
 90.000000000, -.003056753, .002984505
 91.000000000, -.003056753, .002984505
 92.000000000, -.003056759, .002985842
 93.000000000, -.003056759, .002985842
 94.000000000, -.003056759, .002985842
 95.000000000, -.003056759, .002985842
 96.000000000, -.003056751, .002988894
 97.000000000, -.003056751, .002988894
 98.000000000, -.003056751, .002988894
 99.000000000, -.003056751, .002988894
 100.000000000, -.003056756, .002990004
 101.000000000, -.003056756, .002990004
 102.000000000, -.003056756, .002990004
 103.000000000, -.003056756, .002990004
 104.000000000, -.003056750, .002991883
 105.000000000, -.003056750, .002991883
 106.000000000, -.003056750, .002991883
 107.000000000, -.003056750, .002991883
 108.000000000, -.003056760, .002993083
 109.000000000, -.003056760, .002993083
 110.000000000, -.003056760, .002993083
 111.000000000, -.003056760, .002993083
 112.000000000, -.003056758, .002993572
 113.000000000, -.003056758, .002993572
 114.000000000, -.003056758, .002993572
 115.000000000, -.003056758, .002993572
 116.000000000, -.003056752, .002993142
 117.000000000, -.003056752, .002993142
 118.000000000, -.003056752, .002993142
 119.000000000, -.003056752, .002993142
 120.000000000, -.003056758, .002991898
 121.000000000, -.003056758, .002991898
 122.000000000, -.003056758, .002991898
 123.000000000, -.003056758, .002991898
 124.000000000, -.003056752, .002992086
 125.000000000, -.003056752, .002992086
 126.000000000, -.003056752, .002992086
 127.000000000, -.003056752, .002992086
 128.000000000, -.003056747, .002988736
 129.000000000, -.003056747, .002988736
 130.000000000, -.003056747, .002988736
 131.000000000, -.003056747, .002988736
 132.000000000, -.003056760, .002984703
 133.000000000, -.003056760, .002984703
 134.000000000, -.003056760, .002984703
 135.000000000, -.003056760, .002984703
 136.000000000, -.003056750, .002978244
 137.000000000, -.003056750, .002978244
 138.000000000, -.003056750, .002978244
 139.000000000, -.003056750, .002978244
 140.000000000, -.003056760, .002973306
 141.000000000, -.003056760, .002973306
 142.000000000, -.003056760, .002973306
 143.000000000, -.003056760, .002973306
 144.000000000, -.003056757, .002965647
 145.000000000, -.003056757, .002965647
 146.000000000, -.003056757, .002965647
 147.000000000, -.003056757, .002965647
 148.000000000, -.003056758, .002957099
 149.000000000, -.003056758, .002957099
 150.000000000, -.003056758, .002957099
 151.000000000, -.003056758, .002957099
 152.000000000, -.003056747, .002944793
 153.000000000, -.003056747, .002944793
 154.000000000, -.003056747, .002944793
 155.000000000, -.003056747, .002944793
 156.000000000, -.003056758, .002932113
 157.000000000, -.003056758, .002932113
 158.000000000, -.003056758, .002932113
 159.000000000, -.003056758, .002932113
 160.000000000, -.003056757, .002916620
 161.000000000, -.003056757, .002916620
 162.000000000, -.003056757, .002916620
 163.000000000, -.003056757, .002916620
 164.000000000, -.003056759, .002900187
 165.000000000, -.003056759, .002900187
 166.000000000, -.003056759, .002900187
 167.000000000, -.003056759, .002900187
 168.000000000, -.003056749, .002879403
 169.000000000, -.003056749, .002879403
 170.000000000, -.003056749, .002879403
 171.000000000, -.003056749, .002879403
 172.000000000, -.003056757, .002856566
 173.000000000, -.003056757, .002856566
 174.000000000, -.003056757, .002856566
 175.000000000, -.003056757, .002856566
 176.000000000, -.003056741, .002831239
 177.000000000, -.003056741, .002831239
 178.000000000, -.003056741, .002831239
 179.000000000, -.003056741, .002831239
 180.000000000, -.003056737, .002805442
 181.000000000, -.003056737, .002805442
 182.000000000, -.003056737, .002805442
 183.000000000, -.003056737, .002805442
 184.000000000, -.003050557, .002773606
 185.000000000, -.003050557, .002773606
 186.000000000, -.003050557, .002773606
 187.000000000, -.003050557, .002773606
 188.000000000, -.003021760, .002741071
 189.000000000, -.003021760, .002741071
 190.000000000, -.003021760, .002741071
 191.000000000, -.003021760, .002741071
 192.000000000, -.002987553, .002703671
 193.000000000, -.002987553, .002703671
 194.000000000, -.002987553, .002703671
 195.000000000, -.002987553, .002703671
 196.000000000, -.002950601, .002666002
 197.000000000, -.002950601, .002666002
 198.000000000, -.002950601, .002666002
 199.000000000, -.002950601, .002666002
 200.000000000, -.002909389, .002624144
 201.000000000, -.002909389, .002624144
 202.000000000, -.002909389, .002624144
 203.000000000, -.002909389, .002624144
 204.000000000, -.002863532, .002580820
 205.000000000, -.002863532, .002580820
 206.000000000, -.002863532, .002580820
 207.000000000, -.002863532, .002580820
 208.000000000, -.002812010, .002532745
 209.000000000, -.002812010, .002532745
 210.000000000, -.002812010, .002532745
 211.000000000, -.002812010, .002532745
 212.000000000, -.002757053, .002482847
 213.000000000, -.002757053, .002482847
 214.000000000, -.002757053, .002482847
 215.000000000, -.002757053, .002482847
 216.000000000, -.002693749, .002432099
 217.000000000, -.002693749, .002432099
 218.000000000, -.002693749, .002432099
 219.000000000, -.002693749, .002432099
 220.000000000, -.002628836, .002376937
 221.000000000, -.002628836, .002376937
 222.000000000, -.002628836, .002376937
 223.000000000, -.002628836, .002376937
 224.000000000, -.002558890, .002321060
 225.000000000, -.002558890, .002321060
 226.000000000, -.002558890, .002321060
 227.000000000, -.002558890, .002321060
 228.000000000, -.002484114, .002261388
 229.000000000, -.002484114, .002261388
 230.000000000, -.002484114, .002261388
 231.000000000, -.002484114, .002261388
 232.000000000, -.002402219, .002198580
 233.000000000, -.002402219, .002198580
 234.000000000, -.002402219, .002198580
 235.000000000, -.002402219, .002198580
 236.000000000, -.002316190, .002136344
 237.000000000, -.002316190, .002136344
 238.000000000, -.002316190, .002136344
 239.000000000, -.002316190, .002136344
 240.000000000, -.002227015, .002068825
 241.000000000, -.002227015, .002068825
 242.000000000, -.002227015, .002068825
 243.000000000, -.002227015, .002068825
 244.000000000, -.002133353, .002000475
 245.000000000, -.002133353, .002000475
 246.000000000, -.002133353, .002000475
 247.000000000, -.002133353, .002000475
 248.000000000, -.002037375, .001930413
 249.000000000, -.002037375, .001930413
 250.000000000, -.002037375, .001930413
 251.000000000, -.002037375, .001930413
 252.000000000, -.001937961, .001859288
 253.000000000, -.001937961, .001859288
 254.000000000, -.001937961, .001859288
 255.000000000, -.001937961, .001859288
 256.000000000, -.001834244, .001783392
 257.000000000, -.001834244, .001783392
 258.000000000, -.001834244, .001783392
 259.000000000, -.001834244, .001783392
 260.000000000, -.001729759, .001708575
 261.000000000, -.001729759, .001708575
 262.000000000, -.001729759, .001708575
 263.000000000, -.001729759, .001708575
 264.000000000, -.001623060, .001629082
 265.000000000, -.001623060, .001629082
 266.000000000, -.001623060, .001629082
 267.000000000, -.001623060, .001629082
 268.000000000, -.001514315, .001550381
 269.000000000, -.001514315, .001550381
 270.000000000, -.001514315, .001550381
 271.000000000, -.001514315, .001550381
 272.000000000, -.001407800, .001467607
 273.000000000, -.001407800, .001467607
