t, CL , CS , CE , CIS, CIA, CH , CR , CD , CV 
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266989653,0.463800115,0.000763665,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000327429
2,0.267725718,0.463994498,0.00082919,0.000077277,0.001088937,0.000067438,0.263656821,0.001906588,0.000653533
3,0.268466759,0.464186227,0.000875832,0.00007424,0.00105651,0.000051672,0.262401655,0.001908782,0.000978323
4,0.269203347,0.464445678,0.000909653,0.000072817,0.00103537,0.00004201,0.261142564,0.001910738,0.001237823
5,0.269901069,0.465060103,0.00093478,0.000072364,0.001022102,0.000036156,0.259883732,0.001912556,0.00117714
6,0.270601262,0.465666394,0.000954021,0.000072479,0.001014355,0.000032672,0.258627866,0.001914296,0.001116656
7,0.271303593,0.466263952,0.000969288,0.000072911,0.00101051,0.000030655,0.257376722,0.001915997,0.001056372
8,0.271899064,0.466797564,0.000981884,0.00007351,0.001009447,0.000029544,0.256131438,0.001917682,0.001159866
9,0.271951529,0.467051377,0.000992693,0.000074187,0.001010391,0.000028987,0.25489275,0.001919364,0.002078723
10,0.272003825,0.467301224,0.001002321,0.000074891,0.001012801,0.000028765,0.253661133,0.001921052,0.002993988
11,0.272055869,0.467546988,0.001011193,0.000075597,0.0010163,0.000028744,0.252436893,0.001922749,0.003905668
12,0.272002996,0.468141988,0.001019599,0.000076291,0.001020626,0.00002884,0.251220227,0.001924458,0.004564975
13,0.271427589,0.470496531,0.001027773,0.00007697,0.001025596,0.000029004,0.250011258,0.00192618,0.0039791
14,0.270853012,0.472842218,0.001035865,0.000077635,0.001031087,0.000029205,0.248810065,0.001927917,0.003392996
15,0.270279237,0.475179024,0.001043968,0.000078289,0.001037015,0.000029426,0.247616696,0.001929668,0.002806678
16,0.269608579,0.477162178,0.001052147,0.000078935,0.00104332,0.000029659,0.246431183,0.001931433,0.002662567
17,0.26845269,0.477417833,0.001060406,0.000079578,0.001049956,0.000029896,0.245253544,0.001933212,0.004722885
18,0.267301296,0.477668796,0.001068765,0.00008022,0.001056886,0.000030137,0.244083789,0.001935006,0.006775105
19,0.266154364,0.477915083,0.001077254,0.000080864,0.001064084,0.00003038,0.242921922,0.001936814,0.008819236
20,0.265052291,0.478344813,0.001085897,0.000081512,0.00107153,0.000030624,0.241767943,0.001938637,0.010626753
21,0.264155689,0.47970661,0.001094732,0.000082167,0.001079214,0.00003087,0.240621851,0.001940474,0.011288394
22,0.263261594,0.481058512,0.001103781,0.000082831,0.001087131,0.000031118,0.239483641,0.001942327,0.011949065
23,0.262369986,0.48240055,0.001113049,0.000083506,0.00109528,0.000031369,0.238353312,0.001944194,0.012608754
24,0.26164164,0.483570641,0.001122543,0.000084193,0.001103661,0.000031624,0.237230861,0.001946076,0.013268761
25,0.261718246,0.483922831,0.001132256,0.000084895,0.001112273,0.000031883,0.236116285,0.001947974,0.013933357
26,0.261794261,0.484269732,0.001142192,0.000085611,0.001121115,0.000032147,0.235009583,0.001949888,0.014595471
27,0.261869668,0.484611357,0.001152355,0.000086343,0.001130188,0.000032416,0.233910753,0.001951818,0.015255102
28,0.261758698,0.485117412,0.001162751,0.000087091,0.001139493,0.00003269,0.232819794,0.001953764,0.015928307
29,0.260721129,0.486462981,0.001173394,0.000087855,0.001149031,0.00003297,0.231736706,0.001955728,0.016680205
30,0.259687034,0.487797816,0.001184291,0.000088637,0.001158807,0.000033256,0.230661489,0.001957708,0.017430962
31,0.258656388,0.489121949,0.001195446,0.000089436,0.001168824,0.000033549,0.229594142,0.001959706,0.01818056
32,0.257666796,0.490514807,0.00120686,0.000090255,0.001179087,0.000033848,0.228534669,0.001961723,0.018811954
33,0.256867842,0.492293649,0.001218551,0.000091092,0.0011896,0.000034155,0.227483072,0.001963757,0.018858282
34,0.256070661,0.494062039,0.001230527,0.000091949,0.001200369,0.000034468,0.226439353,0.001965811,0.018904824
35,0.255275236,0.495819985,0.001242788,0.000092827,0.001211399,0.000034788,0.225403519,0.001967884,0.018951574
36,0.254470087,0.497506941,0.001255339,0.000093725,0.001222697,0.000035116,0.224375575,0.001969976,0.019070543
37,0.253609621,0.49888125,0.001268175,0.000094645,0.001234266,0.000035452,0.223355527,0.001972089,0.019548974
38,0.252751302,0.50024556,0.001281297,0.000095585,0.00124611,0.000035796,0.222343384,0.001974223,0.020026743
39,0.251895108,0.501599888,0.00129471,0.000096548,0.001258232,0.000036148,0.221339153,0.001976378,0.020503836
40,0.251190702,0.502976258,0.001308421,0.000097532,0.001270636,0.000036507,0.220342843,0.001978554,0.020798545
41,0.251235363,0.504502446,0.001322448,0.000098539,0.001283328,0.000036876,0.219354464,0.001980753,0.020185784
42,0.25127917,0.506019736,0.001336802,0.000099569,0.001296313,0.000037252,0.218374026,0.001982974,0.019574159
43,0.251322101,0.507528118,0.001351486,0.000100622,0.001309599,0.000037637,0.217401541,0.001985219,0.018963677
44,0.251202431,0.50893401,0.001366505,0.0001017,0.001323192,0.000038031,0.216437021,0.001987487,0.018609623
45,0.25027564,0.509863935,0.001381839,0.000102802,0.001337097,0.000038434,0.215480482,0.00198978,0.019529991
46,0.249351362,0.510785085,0.001397485,0.000103928,0.001351315,0.000038846,0.214531938,0.001992097,0.020447944
47,0.248429572,0.511697472,0.001413452,0.000105079,0.001365847,0.000039268,0.213591403,0.00199444,0.021363467
48,0.247746685,0.512341935,0.001429748,0.000106254,0.001380697,0.000039698,0.212658892,0.001996809,0.022299283
49,0.248247672,0.511685176,0.001446359,0.000107453,0.001395868,0.000040138,0.211734421,0.001999204,0.023343709
50,0.248748638,0.511025997,0.001463286,0.000108678,0.001411359,0.000040587,0.210818005,0.002001627,0.024381823
51,0.249249559,0.510364382,0.001480539,0.000109926,0.001427172,0.000041046,0.209909661,0.002004076,0.025413639
52,0.24950661,0.510044628,0.001498125,0.0001112,0.00144331,0.000041513,0.209009403,0.002006554,0.026338655
53,0.248546896,0.511437922,0.001516087,0.000112499,0.001459778,0.000041991,0.20811725,0.002009061,0.026758517
54,0.247589803,0.512820234,0.001534441,0.000113824,0.001476587,0.000042478,0.207233218,0.002011597,0.027177817
55,0.246635309,0.514191567,0.001553191,0.000115177,0.001493747,0.000042975,0.206357328,0.002014163,0.027596542
56,0.245739655,0.515326208,0.001572341,0.000116559,0.001511267,0.000043482,0.205489601,0.002016759,0.028184128
