t, NCL , NCS , NCE , NCIS, NCIA, NCH , NCR , NCD , NCV 
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266174788,0.46465929,0.000763672,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000283112
2,0.266094013,0.465714106,0.000829215,0.000077277,0.00108894,0.000067438,0.263656821,0.001906588,0.000565602
3,0.266016206,0.466767562,0.000875885,0.000074241,0.001056518,0.000051672,0.262401657,0.001908782,0.000847478
4,0.265940304,0.467817686,0.00090974,0.000072819,0.001035388,0.00004201,0.261142568,0.001910738,0.001128745
5,0.265865588,0.468863153,0.000934902,0.000072368,0.001022134,0.000036157,0.25988374,0.001912556,0.001409403
6,0.265791565,0.469903071,0.000954176,0.000072484,0.001014404,0.000032673,0.258627882,0.001914296,0.00168945
7,0.265717898,0.470936843,0.000969474,0.000072918,0.001010578,0.000030657,0.257376749,0.001915998,0.001968886
8,0.265644354,0.471964071,0.000982101,0.000073519,0.001009537,0.000029547,0.25613148,0.001917683,0.002247708
9,0.265570773,0.472984493,0.000992952,0.000074199,0.001010505,0.00002899,0.254892811,0.001919365,0.002525913
10,0.265497039,0.473997935,0.001002638,0.000074906,0.001012943,0.000028769,0.253661218,0.001921053,0.002803499
11,0.265423071,0.475004285,0.001011582,0.000075615,0.001016476,0.000028749,0.252437008,0.00192275,0.003080464
12,0.26534881,0.476003474,0.001020072,0.000076313,0.001020843,0.000028846,0.251220379,0.00192446,0.003356804
13,0.265274209,0.47699546,0.00102831,0.000076997,0.00102586,0.000029011,0.250011455,0.001926183,0.003632516
14,0.265199233,0.477980219,0.001036436,0.000077666,0.001031399,0.000029214,0.248810315,0.00192792,0.003907598
15,0.265123854,0.478957741,0.001044547,0.000078323,0.001037371,0.000029437,0.247617009,0.001929671,0.004182047
16,0.265048048,0.479928024,0.001052711,0.000078972,0.001043711,0.000029671,0.246431565,0.001931437,0.004455861
17,0.264971793,0.480891072,0.001060977,0.000079617,0.001050377,0.000029909,0.245254002,0.001933217,0.004729035
18,0.264895072,0.481846892,0.001069381,0.000080261,0.001057336,0.000030151,0.244084327,0.001935012,0.005001569
19,0.264817866,0.482795493,0.001077946,0.000080907,0.001064568,0.000030394,0.242922546,0.001936821,0.005273458
20,0.264740158,0.483736888,0.001086693,0.000081559,0.001072057,0.00003064,0.24176866,0.001938645,0.0055447
21,0.264661933,0.484671087,0.001095635,0.000082219,0.001079795,0.000030887,0.240622669,0.001940483,0.005815291
22,0.264583175,0.485598104,0.001104783,0.000082888,0.001087774,0.000031137,0.239484571,0.001942337,0.00608523
23,0.264503868,0.486517952,0.001114147,0.00008357,0.001095991,0.00003139,0.238354365,0.001944205,0.006354514
24,0.264423996,0.487430641,0.001123732,0.000084264,0.001104443,0.000031647,0.23723205,0.001946089,0.006623138
25,0.264343544,0.488336186,0.001133546,0.000084972,0.001113131,0.000031908,0.236117623,0.001947989,0.006891101
26,0.264262496,0.489234598,0.001143594,0.000085695,0.001122055,0.000032174,0.235011084,0.001949904,0.007158399
27,0.264180837,0.490125888,0.001153881,0.000086435,0.001131215,0.000032445,0.233912433,0.001951836,0.00742503
28,0.26409855,0.491010068,0.001164411,0.000087191,0.001140614,0.000032723,0.232821669,0.001953785,0.00769099
29,0.26401562,0.491887147,0.00117519,0.000087964,0.001150254,0.000033006,0.231738793,0.00195575,0.007956277
30,0.263932029,0.492757137,0.001186221,0.000088755,0.001160137,0.000033295,0.230663806,0.001957733,0.008220887
31,0.263847763,0.493620046,0.001197509,0.000089564,0.001170266,0.000033591,0.22959671,0.001959734,0.008484817
32,0.263762803,0.494475883,0.001209058,0.000090392,0.001180645,0.000033894,0.228537508,0.001961753,0.008748064
33,0.263677134,0.495324657,0.001220872,0.000091239,0.001191276,0.000034204,0.227486202,0.001963791,0.009010625
34,0.263590737,0.496166376,0.001232956,0.000092106,0.001202163,0.000034521,0.226442796,0.001965848,0.009272497
35,0.263503597,0.497001046,0.001245315,0.000092993,0.001213311,0.000034845,0.225407294,0.001967924,0.009533676
36,0.263415695,0.497828673,0.001257952,0.0000939,0.001224721,0.000035176,0.224379703,0.00197002,0.009794159
37,0.263327013,0.498649264,0.001270872,0.000094827,0.0012364,0.000035515,0.223360028,0.001972137,0.010053944
38,0.263237533,0.499462824,0.001284081,0.000095776,0.001248349,0.000035862,0.222348275,0.001974275,0.010313025
39,0.263147238,0.500269356,0.001297582,0.000096745,0.001260575,0.000036217,0.221344451,0.001976434,0.010571401
40,0.263056108,0.501068865,0.00131138,0.000097737,0.00127308,0.00003658,0.220348566,0.001978615,0.010829068
41,0.262964125,0.501861353,0.001325481,0.000098751,0.00128587,0.000036951,0.219360628,0.001980818,0.011086022
42,0.262871269,0.502646824,0.00133989,0.000099787,0.001298949,0.00003733,0.218380647,0.001983045,0.01134226
43,0.262777521,0.503425277,0.001354611,0.000100846,0.001312322,0.000037718,0.217408633,0.001985294,0.011597778
44,0.262682862,0.504196715,0.00136965,0.000101928,0.001325992,0.000038114,0.216444598,0.001987567,0.011852572
45,0.262587271,0.504961138,0.001385013,0.000103034,0.001339966,0.000038519,0.215488554,0.001989865,0.012106639
46,0.262490728,0.505718544,0.001400704,0.000104164,0.001354248,0.000038933,0.214540515,0.001992188,0.012359976
47,0.262393213,0.506468932,0.00141673,0.000105318,0.001368844,0.000039356,0.213600493,0.001994536,0.012612578
48,0.262294704,0.507212299,0.001433096,0.000106498,0.001383757,0.000039788,0.212668505,0.00199691,0.012864442
49,0.26219518,0.507948644,0.001449808,0.000107702,0.001398995,0.00004023,0.211744566,0.001999311,0.013115564
50,0.262094621,0.508677962,0.001466873,0.000108932,0.001414561,0.000040681,0.210828692,0.002001739,0.01336594
51,0.261993002,0.509400249,0.001484295,0.000110188,0.001430463,0.000041141,0.209920902,0.002004195,0.013615565
52,0.261890304,0.510115498,0.001502082,0.000111471,0.001446705,0.000041612,0.209021213,0.002006679,0.013864437
53,0.261786502,0.510823704,0.001520239,0.000112781,0.001463293,0.000042092,0.208129647,0.002009191,0.01411255
54,0.261681574,0.51152486,0.001538774,0.000114119,0.001480233,0.000042583,0.207246223,0.002011734,0.014359901
55,0.261575497,0.512218957,0.001557692,0.000115484,0.001497532,0.000043083,0.206370963,0.002014306,0.014606486
56,0.261468246,0.512905987,0.001577001,0.000116878,0.001515195,0.000043595,0.205503889,0.00201691,0.0148523
57,0.261359798,0.513585939,0.001596707,0.000118301,0.001533228,0.000044117,0.204645026,0.002019544,0.015097339
58,0.261250129,0.514258804,0.001616817,0.000119753,0.001551639,0.00004465,0.203794398,0.002022211,0.015341598
59,0.261139213,0.51492457,0.001637339,0.000121235,0.001570433,0.000045194,0.202952031,0.002024911,0.015585073
60,0.261027025,0.515583224,0.001658279,0.000122748,0.001589618,0.00004575,0.202117953,0.002027644,0.01582776
61,0.26091354,0.516234753,0.001679645,0.000124292,0.001609199,0.000046316,0.20129219,0.002030411,0.016069654
62,0.260798731,0.516879142,0.001701445,0.000125868,0.001629185,0.000046895,0.200474773,0.002033213,0.016310749
63,0.260682572,0.517516376,0.001723686,0.000127475,0.001649581,0.000047485,0.199665732,0.00203605,0.016551042
64,0.260565036,0.51814644,0.001746375,0.000129116,0.001670396,0.000048088,0.198865098,0.002038923,0.016790528
65,0.260446096,0.518769315,0.001769522,0.000130789,0.001691637,0.000048702,0.198072905,0.002041834,0.017029201
