 t , uL, uV
 .000000000, -.002466180, .003771125
 1.000000000, -.002466180, .003771125
 2.000000000, -.002466180, .003771125
 3.000000000, -.002466180, .003771125
 4.000000000, -.002256579, .003427521
 5.000000000, -.002256579, .003427521
 6.000000000, -.002256579, .003427521
 7.000000000, -.002256579, .003427521
 8.000000000, -.002262337, .003418481
 9.000000000, -.002262337, .003418481
 10.000000000, -.002262337, .003418481
 11.000000000, -.002262337, .003418481
 12.000000000, -.002268214, .003410657
 13.000000000, -.002268214, .003410657
 14.000000000, -.002268214, .003410657
 15.000000000, -.002268214, .003410657
 16.000000000, -.002274185, .003404479
 17.000000000, -.002274185, .003404479
 18.000000000, -.002274185, .003404479
 19.000000000, -.002274185, .003404479
 20.000000000, -.002280232, .003398950
 21.000000000, -.002280232, .003398950
 22.000000000, -.002280232, .003398950
 23.000000000, -.002280232, .003398950
 24.000000000, -.002287453, .003393637
 25.000000000, -.002287453, .003393637
 26.000000000, -.002287453, .003393637
 27.000000000, -.002287453, .003393637
 28.000000000, -.002294335, .003389521
 29.000000000, -.002294335, .003389521
 30.000000000, -.002294335, .003389521
 31.000000000, -.002294335, .003389521
 32.000000000, -.002301512, .003385488
 33.000000000, -.002301512, .003385488
 34.000000000, -.002301512, .003385488
 35.000000000, -.002301512, .003385488
 36.000000000, -.002308764, .003382069
 37.000000000, -.002308764, .003382069
 38.000000000, -.002308764, .003382069
 39.000000000, -.002308764, .003382069
 40.000000000, -.002316480, .003379166
 41.000000000, -.002316480, .003379166
 42.000000000, -.002316480, .003379166
 43.000000000, -.002316480, .003379166
 44.000000000, -.002324727, .003376774
 45.000000000, -.002324727, .003376774
 46.000000000, -.002324727, .003376774
 47.000000000, -.002324727, .003376774
 48.000000000, -.002332782, .003374905
 49.000000000, -.002332782, .003374905
 50.000000000, -.002332782, .003374905
 51.000000000, -.002332782, .003374905
 52.000000000, -.002341208, .003373017
 53.000000000, -.002341208, .003373017
 54.000000000, -.002341208, .003373017
 55.000000000, -.002341208, .003373017
 56.000000000, -.002349038, .003371689
 57.000000000, -.002349038, .003371689
 58.000000000, -.002349038, .003371689
 59.000000000, -.002349038, .003371689
 60.000000000, -.002358281, .003371072
 61.000000000, -.002358281, .003371072
 62.000000000, -.002358281, .003371072
 63.000000000, -.002358281, .003371072
 64.000000000, -.002367311, .003370192
 65.000000000, -.002367311, .003370192
 66.000000000, -.002367311, .003370192
 67.000000000, -.002367311, .003370192
 68.000000000, -.002377117, .003369629
 69.000000000, -.002377117, .003369629
 70.000000000, -.002377117, .003369629
 71.000000000, -.002377117, .003369629
 72.000000000, -.002386804, .003369829
 73.000000000, -.002386804, .003369829
 74.000000000, -.002386804, .003369829
 75.000000000, -.002386804, .003369829
 76.000000000, -.002395717, .003369383
 77.000000000, -.002395717, .003369383
 78.000000000, -.002395717, .003369383
 79.000000000, -.002395717, .003369383
 80.000000000, -.002406122, .003369254
 81.000000000, -.002406122, .003369254
 82.000000000, -.002406122, .003369254
 83.000000000, -.002406122, .003369254
 84.000000000, -.002416428, .003369340
 85.000000000, -.002416428, .003369340
 86.000000000, -.002416428, .003369340
 87.000000000, -.002416428, .003369340
 88.000000000, -.002426563, .003368653
 89.000000000, -.002426563, .003368653
 90.000000000, -.002426563, .003368653
