"time","L","S","E","I_S","I_A","H","R","D"
37.,0.,0.7715007866653476,0.0013915004121567798,0.00010861948240332089,0.0013364734789810119,0.00014737139921870248,0.22353650326294872,0.0019787452679435372,""
37.5,0.,0.7719797984174335,0.0014002791158528253,0.00010928303433263022,0.00134443355970581,0.00014820023594582253,0.22303805440411462,0.001979951201614438,""
38.,0.,0.7724564568891218,0.0014091546265149954,0.00010995400442179247,0.00135248398975989,0.00014903901537279818,0.22254174751087896,0.001981163932929445,""
38.5,0.,0.7729307562243257,0.0014181283206337705,0.00011063248419915532,0.0013606256766503337,0.00014988779749297812,0.22204758589565177,0.001982383570045887,""
39.,0.,0.7734026873654463,0.0014272025023810417,0.00011131855970033951,0.0013688596319529692,0.00015074670549024044,0.22155557494182102,0.001983610262207757,""
39.5,0.,0.7738722495787888,0.0014363773623339835,0.00011201223664795569,0.0013771859288077167,0.0001516157500251125,0.2210657150912968,0.001984844021099276,""
40.,0.,0.7743394428641595,0.0014456529005274384,0.0001127135150451091,0.001385604567252367,0.00015249493110089027,0.22057800634419067,0.0019860848467237557,""
40.5,0.,0.77480425829782,0.0014550307209200443,0.00011342253783801689,0.0013941172869485572,0.00015338440044249403,0.2200924538334904,0.001987332891540192,""
41.,0.,0.7752666871210475,0.0014645123978104684,0.0001141394453295733,0.0014027257953885708,0.00015428430696918776,0.21960906259726606,0.00198858830518835,""
41.5,0.,0.7757267293338419,0.0014740979311987108,0.00011486423751977833,0.0014114300925724078,0.00015519465068097147,0.21912783263551766,0.00198985108766823,""
42.,0.,0.7761843835578938,0.0014837875654135553,0.00011559693742977685,0.0014202304329903733,0.00015611545237172219,0.21864876476119252,0.0019911212617079363,""
42.5,0.,0.7766396358137769,0.0014935837785457111,0.0001163377785502134,0.0014291293977958268,0.00015704692294214782,0.21817186721956286,0.0019923990578259664,""
43.,0.,0.7770924824607695,0.0015034872159749768,0.00011708682169005857,0.0014381276592096144,0.00015798911731802488,0.2176971421579803,0.0019936845360572415,""
43.5,0.,0.7775429234988713,0.001513497877701352,0.00011784406684931236,0.0014472252172317362,0.00015894203549935332,0.21722458957644486,0.0019949776964017624,""
44.,0.,0.7779909567094958,0.0015236161750729364,0.00011860954107911465,0.0014564224106765394,0.00015990571417749726,0.2167542108468194,0.0019962785716784283,""
44.5,0.,0.7784365731972428,0.0015338437369351381,0.00011938336416595049,0.001465720678189036,0.00016088029682035797,0.21628601139790996,0.0019975872977364933,""
45.,0.,0.7788797658026433,0.0015441818513746825,0.00012016564519661815,0.0014751212674023832,0.00016186589481742545,0.2158199955188802,0.001998903988685115,""
45.5,0.,0.7793205275256618,0.001554631776527104,0.00012095649153027476,0.0014846254031330335,0.00016286261685181328,0.21535616739893929,0.002000228756356413,""
46.,0.,0.7797588513662628,0.001565194770527938,0.00012175601052607746,0.0014942343101974394,0.00016387057160663517,0.21489453122729632,0.0020015617125825054,""
46.5,0.,0.7801947303244109,0.0015758720915127191,0.0001225643095431834,0.001503949213412053,0.00016488986776500472,0.2144350911931604,0.002002902969195512,""
47.,0.,0.7806281574000704,0.0015866649976169825,0.0001233814959407497,0.001513771337593327,0.00016592061401003564,0.2139778514857407,0.002004252638027551,""
47.5,0.,0.7810591266235829,0.001597574541040862,0.00012420763264181473,0.0015237015272941974,0.00016696291107952104,0.21352281593222422,0.0020056108011362282,""
48.,0.,0.7814876325896873,0.0016086016611816497,0.00012504275822916062,0.0015337404187750756,0.0001680168553591382,0.21306998816149744,0.002006977524269909,""
48.5,0.,0.7819136689028535,0.0016197474953559736,0.00012588695399200564,0.0015438890137580731,0.00016908255087061212,0.2126193721503771,0.002008352901792495,""
49.,0.,0.7823372291658205,0.0016310131812263269,0.00012674030129419792,0.0015541483146039492,0.00017016010164901186,0.21217097187628794,0.0020097370281178953,""
