"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","CL","CS","CE","CIS","CIA","CH","CR","CD","CV"
57.,0.,0.624688266,0.001657153,0.000122893,0.001593268,0.000045851,0.204980356,0.002023082,0.164889131
58.,0.,0.623199466,0.001677357,0.000124363,0.001612014,0.000046393,0.20413922,0.002025852,0.167175335
59.,0.,0.621720182,0.001697925,0.00012586,0.001631103,0.000046944,0.20330635,0.002028656,0.169442981
60.,0.,0.620250285,0.001718864,0.000127384,0.00165054,0.000047506,0.202481766,0.002031493,0.171692162
61.,0.,0.618789651,0.001740178,0.000128935,0.001670331,0.000048078,0.201665487,0.002034364,0.173922974
62.,0.,0.617338154,0.001761875,0.000130514,0.001690481,0.000048661,0.200857535,0.002037271,0.176135508
63.,0.,0.615895669,0.001783959,0.000132122,0.001710996,0.000049254,0.200057932,0.002040213,0.178329855
64.,0.,0.614462071,0.001806437,0.000133759,0.001731882,0.000049858,0.1992667,0.002043191,0.180506102
65.,0.,0.613037236,0.001829316,0.000135425,0.001753145,0.000050472,0.198483864,0.002046206,0.182664336
66.,0.,0.61162104,0.0018526,0.000137121,0.00177479,0.000051098,0.197709448,0.002049259,0.184804645
67.,0.,0.610213361,0.001876297,0.000138847,0.001796823,0.000051735,0.196943478,0.00205235,0.18692711
68.,0.,0.608814075,0.001900413,0.000140604,0.00181925,0.000052383,0.19618598,0.00205548,0.189031815
69.,0.,0.60742306,0.001924955,0.000142392,0.001842078,0.000053043,0.195436983,0.002058649,0.19111884
70.,0.,0.606040195,0.001949928,0.000144211,0.001865313,0.000053714,0.194696515,0.002061859,0.193188264
71.,0.,0.604665357,0.001975339,0.000146063,0.001888961,0.000054398,0.193964607,0.00206511,0.195240165
72.,0.,0.603298426,0.002001195,0.000147948,0.001913028,0.000055093,0.193241289,0.002068402,0.197274618
73.,0.,0.601939281,0.002027503,0.000149865,0.001937521,0.000055801,0.192526592,0.002071737,0.199291698
74.,0.,0.600587802,0.00205427,0.000151817,0.001962447,0.000056521,0.19182055,0.002075115,0.201291478
75.,0.,0.599243868,0.002081502,0.000153802,0.001987811,0.000057254,0.191123197,0.002078538,0.203274028
76.,0.,0.59790736,0.002109206,0.000155823,0.002013621,0.000058,0.190434568,0.002082005,0.205239418
77.,0.,0.596578158,0.00213739,0.000157878,0.002039883,0.000058759,0.189754699,0.002085517,0.207187715
78.,0.,0.595256144,0.00216606,0.000159969,0.002066605,0.000059531,0.189083627,0.002089076,0.209118988
79.,0.,0.593941199,0.002195224,0.000162097,0.002093793,0.000060317,0.18842139,0.002092682,0.211033299
80.,0.,0.592633205,0.002224888,0.000164261,0.002121454,0.000061116,0.187768029,0.002096336,0.212930712
81.,0.,0.591332044,0.00225506,0.000166462,0.002149595,0.000061929,0.187123582,0.002100038,0.214811289
82.,0.,0.590037598,0.002285747,0.000168702,0.002178223,0.000062756,0.186488093,0.002103791,0.21667509
83.,0.,0.588749751,0.002316957,0.00017098,0.002207345,0.000063598,0.185861603,0.002107594,0.218522173
84.,0.,0.587468384,0.002348697,0.000173297,0.002236969,0.000064454,0.185244156,0.002111448,0.220352595
85.,0.,0.586193381,0.002380974,0.000175653,0.002267102,0.000065324,0.184635798,0.002115354,0.222166412
86.,0.,0.584924627,0.002413797,0.00017805,0.002297752,0.00006621,0.184036575,0.002119313,0.223963677
87.,0.,0.583662004,0.002447171,0.000180487,0.002328925,0.000067111,0.183446533,0.002123327,0.225744442
88.,0.,0.582405398,0.002481106,0.000182966,0.002360629,0.000068027,0.182865721,0.002127395,0.227508758
89.,0.,0.581154692,0.002515609,0.000185486,0.002392872,0.000068958,0.182294189,0.00213152,0.229256674
90.,0.,0.579909772,0.002550686,0.000188049,0.002425661,0.000069905,0.181731987,0.002135701,0.230988238
91.,0.,0.578670523,0.002586347,0.000190655,0.002459004,0.000070869,0.181179167,0.00213994,0.232703495
92.,0.,0.57743683,0.002622599,0.000193305,0.002492909,0.000071848,0.180635782,0.002144237,0.23440249
93.,0.,0.576208579,0.002659449,0.000195998,0.002527383,0.000072844,0.180101886,0.002148595,0.236085266
94.,0.,0.574985656,0.002696905,0.000198737,0.002562434,0.000073857,0.179577535,0.002153013,0.237751865
95.,0.,0.573767947,0.002734975,0.00020152,0.00259807,0.000074886,0.179062785,0.002157492,0.239402325
96.,0.,0.572555339,0.002773667,0.00020435,0.002634298,0.000075932,0.178557693,0.002162035,0.241036686
97.,0.,0.571347719,0.002812988,0.000207226,0.002671127,0.000076996,0.178062318,0.002166641,0.242654984
98.,0.,0.570144975,0.002852946,0.00021015,0.002708564,0.000078078,0.17757672,0.002171312,0.244257255
99.,0.,0.568946993,0.002893549,0.000213121,0.002746618,0.000079177,0.177100961,0.002176049,0.245843532
100.,0.,0.567753663,0.002934805,0.000216141,0.002785295,0.000080294,0.176635102,0.002180853,0.247413848
101.,0.,0.566564871,0.002976721,0.000219209,0.002824604,0.000081429,0.176179206,0.002185725,0.248968234
102.,0.,0.565380508,0.003019305,0.000222327,0.002864553,0.000082583,0.175733339,0.002190666,0.250506719
103.,0.,0.564200461,0.003062564,0.000225495,0.00290515,0.000083756,0.175297565,0.002195678,0.252029331
104.,0.,0.563024621,0.003106507,0.000228714,0.002946402,0.000084947,0.174871951,0.002200761,0.253536097
105.,0.,0.561852877,0.00315114,0.000231984,0.002988318,0.000086158,0.174456566,0.002205916,0.255027041
106.,0.,0.560685118,0.003196471,0.000235305,0.003030905,0.000087388,0.174051478,0.002211145,0.256502188
107.,0.,0.559521237,0.003242508,0.00023868,0.003074171,0.000088637,0.173656757,0.002216449,0.25796156
108.,0.,0.558361123,0.003289258,0.000242107,0.003118124,0.000089907,0.173272474,0.002221829,0.259405177
109.,0.,0.557204668,0.003336728,0.000245588,0.003162772,0.000091196,0.172898702,0.002227287,0.26083306
110.,0.,0.556051764,0.003384925,0.000249123,0.003208121,0.000092505,0.172535513,0.002232822,0.262245226
111.,0.,0.554902304,0.003433856,0.000252713,0.003254181,0.000093836,0.172182982,0.002238438,0.263641692
112.,0.,0.553756179,0.003483528,0.000256358,0.003300958,0.000095186,0.171841183,0.002244134,0.265022474
113.,0.,0.552613283,0.003533948,0.000260059,0.003348459,0.000096558,0.171510194,0.002249913,0.266387585
114.,0.,0.551473511,0.003585123,0.000263817,0.003396693,0.000097951,0.171190092,0.002255774,0.26773704
115.,0.,0.550336756,0.003637059,0.000267631,0.003445666,0.000099365,0.170880954,0.002261721,0.269070849
116.,0.,0.549202913,0.003689762,0.000271502,0.003495386,0.0001008,0.170582859,0.002267754,0.270389023
117.,0.,0.548071879,0.003743238,0.000275432,0.00354586,0.000102257,0.170295888,0.002273873,0.271691572
118.,0.,0.546943549,0.003797495,0.00027942,0.003597094,0.000103737,0.170020121,0.002280082,0.272978503
119.,0.,0.545817819,0.003852536,0.000283467,0.003649096,0.000105238,0.169755641,0.00228638,0.274249823
120.,0.,0.544694588,0.003908369,0.000287573,0.003701872,0.000106761,0.169502529,0.00229277,0.275505538
121.,0.,0.543573754,0.003964997,0.00029174,0.003755428,0.000108307,0.169260869,0.002299252,0.276745653
122.,0.,0.542455215,0.004022428,0.000295966,0.003809771,0.000109876,0.169030745,0.002305828,0.277970171
123.,0.,0.541338871,0.004080665,0.000300253,0.003864908,0.000111468,0.168812241,0.002312499,0.279179096
124.,0.,0.540224624,0.004139712,0.000304602,0.003920843,0.000113082,0.168605443,0.002319267,0.280372427
125.,0.,0.539112373,0.004199575,0.000309012,0.003977583,0.00011472,0.168410437,0.002326132,0.281550167
126.,0.,0.538002022,0.004260258,0.000313483,0.004035134,0.000116381,0.16822731,0.002333098,0.282712314
127.,0.,0.536893474,0.004321763,0.000318018,0.0040935,0.000118066,0.168056148,0.002340164,0.283858868
128.,0.,0.535786632,0.004384096,0.000322614,0.004152687,0.000119774,0.16789704,0.002347332,0.284989825
129.,0.,0.534681402,0.004447258,0.000327274,0.0042127,0.000121506,0.167750072,0.002354604,0.286105185
130.,0.,0.53357769,0.004511253,0.000331997,0.004273542,0.000123261,0.167615335,0.00236198,0.287204942
131.,0.,0.532475404,0.004576082,0.000336783,0.004335219,0.000125041,0.167492915,0.002369464,0.288289092
132.,0.,0.531374451,0.004641749,0.000341633,0.004397733,0.000126845,0.167382904,0.002377055,0.289357631
133.,0.,0.530274741,0.004708253,0.000346547,0.00446109,0.000128673,0.167285388,0.002384755,0.290410552
134.,0.,0.529176186,0.004775598,0.000351525,0.004525291,0.000130525,0.167200459,0.002392567,0.291447849
135.,0.,0.528078696,0.004843783,0.000356567,0.004590341,0.000132402,0.167128205,0.00240049,0.292469515
136.,0.,0.526982186,0.004912809,0.000361674,0.004656241,0.000134303,0.167068716,0.002408527,0.293475543
137.,0.,0.525886571,0.004982676,0.000366845,0.004722994,0.000136229,0.167022081,0.002416679,0.294465926
138.,0.,0.524791766,0.005053382,0.000372081,0.004790601,0.000138179,0.16698839,0.002424948,0.295440654
139.,0.,0.523697689,0.005124927,0.000377381,0.004859064,0.000140154,0.166967731,0.002433335,0.29639972
140.,0.,0.52260426,0.005197309,0.000382746,0.004928383,0.000142153,0.166960193,0.002441841,0.297343114
141.,0.,0.5215114,0.005270526,0.000388176,0.00499856,0.000144177,0.166965865,0.002450468,0.298270829
142.,0.,0.520419031,0.005344575,0.000393669,0.005069594,0.000146226,0.166984834,0.002459217,0.299182854
